X,Y,SLR,TR,Slope,Elevation
-124.71,48.13,-1.6666666666666665,2.67666,2.5441475,10
-124.71,48.39,-2.5142857142857142,2.52541,10.552784,-58
-124.7,48.25,-1.6952380952380952,2.67726,1.3397528,-11
-124.69,47.93,-1.6126984126984127,2.6476,0.0619414,-27
-124.69,48.04,-1.6190476190476188,2.66766,1.3971843,-1
-124.69,48.34,-1.8857142857142857,2.66722,3.5898306,33
-124.58,47.87,-1.4571428571428569,2.6448,4.1431251,-9
-124.58,48.37,-2.473015873015873,2.43327,6.7776074,40
-124.57,42.84,-0.6929075487528343,2.25053,2.1470525,-6
-124.52,42.75,-0.7402289773242631,2.2215,0.9539901,-1
-124.51,42.9,-0.7402289773242631,2.2736,0.667099,1
-124.48,47.78,-1.3968253968253967,2.6485,4.008306,-2
-124.47,42.97,-0.6929075487528343,2.2842,0.1276952,3
-124.46,48.32,-2.406349206349206,2.35556,6.1399837,89
-124.45,42.67,-0.8227255918367347,2.2104,1.2604978,-32
-124.44,42.44,-0.8941321179138322,2.17881,0.9909633,-1
-124.44,43.05,-1.2608208299319725,2.2937,0.989511,7
-124.43,42.32,-0.8687352925170068,2.12894,4.200882,-13
-124.43,42.33,-0.8687352925170068,2.13431,8.5722589,45
-124.43,42.34,-0.8433384671201813,2.13673,4.0749655,-8
-124.43,42.39,-0.8941321179138322,2.15615,0.3830806,-7
-124.43,42.42,-0.8941321179138322,2.1701,0.692492,-5
-124.43,42.42,-0.8941321179138322,2.1701,0.692492,-5
-124.43,43.12,-1.3507374875283447,2.31519,1.4030029,14
-124.42,42.32,-0.8687352925170068,2.12759,3.5175288,19
-124.42,42.43,-0.8941321179138322,2.17481,6.7062049,61
-124.42,42.46,-0.8981885555555554,2.1864,4.3829393,56
-124.42,42.5,-0.8981885555555554,2.1903,2.4947829,21
-124.42,47.71,-2.5555555555555554,2.64671,2.9371941,10
-124.41,40.44,1.5206349206349206,1.90824,5.2098727,28
-124.41,42.25,-0.8687352925170068,2.10229,2.5379355,24
-124.41,42.28,-0.8687352925170068,2.1141,1.1117902,0
-124.41,42.3,-0.8687352925170068,2.12065,4.0498118,34
-124.4,42.24,-0.8623860861678004,2.09489,4.0763683,1
-124.4,43.19,-1.341213678004535,2.31045,1.6466807,3
-124.4,43.31,-1.3166535691609977,2.31225,3.6757736,3
-124.39,42.23,-0.8623860861678004,2.09075,4.8720274,19
-124.39,42.57,-0.8981885555555554,2.1989,3.9825461,35
-124.39,43.27,-1.3166535691609977,2.31235,2.2633915,-2
-124.39,47.64,-2.546031746031746,2.64551,3.2010469,19
-124.38,42.2,-0.8623860861678004,2.08005,1.9090828,-15
-124.38,42.21,-0.8623860861678004,2.08355,2.1964245,-2
-124.37,40.35,1.4158730158730157,1.90351,1.4130429,-11
-124.37,40.54,1.5206349206349206,1.93045,4.5903697,29
-124.37,42.15,-0.8623860861678004,2.06269,3.3163726,-16
-124.37,42.16,-0.8623860861678004,2.0663,3.5040724,-14
-124.37,42.17,-0.8623860861678004,2.06965,3.2639096,-14
-124.37,42.19,-0.8623860861678004,2.0763,7.1527801,-14
-124.36,40.26,1.1079365079365078,1.91272,6.7191119,76
-124.36,42.12,-0.8655606893424037,2.05205,3.6271784,-13
-124.36,42.12,-0.8655606893424037,2.05205,3.6271784,-13
-124.36,42.14,-0.8655606893424037,2.05921,2.569031,-9
-124.36,42.14,-0.8655606893424037,2.05921,2.569031,-9
-124.36,42.16,-0.8623860861678004,2.0669,7.3080645,62
-124.36,42.17,-0.8623860861678004,2.07025,5.5207191,71
-124.36,47.55,-2.4285714285714284,2.64205,1.3141097,6
-124.35,42.1,-0.8655606893424037,2.04334,3.8247335,23
-124.35,42.11,-0.8655606893424037,2.0476,5.5292497,19
-124.35,42.13,-0.8655606893424037,2.0557,7.6295981,45
-124.35,47.48,-2.3968253968253967,2.63975,1.0684772,-2
-124.33,43.36,-1.17613431292517,2.32717,0.5301178,-7
-124.33,47.39,-2.015873015873016,2.6361,1.8994006,-1
-124.33,48.28,-2.8857142857142852,2.29196,3.355444,-11
-124.32,40.63,1.6476190476190475,1.92275,0.2358644,0
-124.32,42.08,-1.1354019591836735,2.03205,2.7054,46
-124.32,43.35,-1.17613431292517,2.32698,1.1638188,-8
-124.29,40.2,0.16825396825396824,1.86819,8.71136,42
-124.29,42.04,-1.2401638639455783,2.01515,1.3097259,-7
-124.29,43.43,-1.195181931972789,2.26455,0.5107682,0
-124.29,47.33,-2.0476190476190474,2.6337,2.5864725,29
-124.28,42.05,-1.1354019591836735,2.01419,1.7526515,28
-124.28,43.42,-1.195181931972789,2.469,0.3233401,-6
-124.27,40.72,1.5999999999999999,1.97676,0.9433778,-12
-124.26,41.77,-0.8825396825396825,2.05395,0.2627932,-16
-124.26,41.78,-0.8825396825396825,2.05219,0.8263438,-10
-124.26,43.5,-1.306071557823129,2.23845,0.3531157,-1
-124.25,41.78,-0.8825396825396825,2.05215,0.9446474,13
-124.24,40.76,1.6476190476190475,2.00629,0.2019034,-18
-124.24,42.02,-1.205243229024943,2.001,1.6530687,-1
-124.23,40.74,1.6476190476190475,2.08066,0.602515,-16
-124.23,40.76,1.6476190476190475,2.05009,0.5608852,-14
-124.23,43.45,-1.3105388503401358,2.5573,1.303858,16
-124.23,43.58,-1.2978404376417232,2.2094,0.6959455,-2
-124.22,41.75,-0.9809523809523809,2.07111,0.6858824,-5
-124.22,43.43,-1.3091783061224491,2.554,2.8135157,-7
-124.22,47.25,-2.0285714285714285,2.6334,1.6018482,33
-124.21,40.15,-0.11746031746031745,1.861,5.6184597,10
-124.21,40.77,1.6476190476190475,2.09778,0.180588,-10
-124.21,40.77,1.6476190476190475,2.09778,0.180588,-10
-124.21,40.8,1.6476190476190475,2.0136,1.1736618,-11
-124.21,41.86,-0.6301865396825397,2.016,0.0619414,3
-124.21,41.92,-1.379392888888889,1.98635,0.3073724,-1
-124.21,41.99,-1.2401638639455783,1.9885,2.3266783,2
-124.21,43.67,-1.2823361882086166,2.18461,0.6510935,-7
-124.2,40.76,1.6476190476190475,2.08268,0.4727364,-18
-124.2,47.18,-1.971428571428571,2.6293,1.1261411,-1
-124.2,48.25,-2.8730158730158726,2.23378,12.9444571,-26
-124.19,41.75,-0.9809523809523809,2.09295,0.3729312,3
-124.18,40.81,1.6285714285714283,2.18839,0.6660199,-7
-124.18,43.76,-1.3236060294784577,2.20745,0.9295552,1
-124.18,47.09,-1.9904761904761903,2.6214,0.2637041,0
-124.17,40.86,1.6285714285714283,2.01575,0.6100288,3
-124.17,46.93,-2.034920634920635,2.63586,0.687628,3
-124.17,47.01,-1.9703703696145123,2.6149,0.2637041,4
-124.16,41.14,1.584126984126984,2.01986,4.3520489,-13
-124.16,41.73,-0.7206349206349206,2.0894,0.5544359,-6
-124.16,43.85,-1.3299552358276643,2.23731,0.5977207,7
-124.15,41.05,1.5936507936507935,2.02055,2.8896198,-8
-124.15,41.14,1.584126984126984,2.0209,4.3144855,38
-124.15,43.93,-1.3236060294784577,2.2661,0.4556912,-2
-124.14,40.94,1.3396825396825396,2.01895,0.9311012,-3
-124.14,41.67,-0.6888888888888889,2.08495,9.881114,28
-124.14,41.7,-0.6888888888888889,2.0871,7.2849422,93
-124.14,44.02,-1.3401360544217684,2.29968,0.3112485,2
-124.14,46.9,-2.0253968253968253,2.60468,0.4998547,-1
-124.14,47.03,-2.0253968253968253,2.20293,0.440712,4
-124.13,44.12,-1.400453514739229,2.35451,2.0282645,-4
-124.13,46.96,-2.0285714285714285,2.69408,0.4160848,10
-124.12,40.11,-0.014468383219954648,1.85671,14.0252333,123
-124.12,44.2,-1.3120530272108841,2.3962,3.9609497,7
-124.11,41.03,1.2476190476190476,2.0217,5.004107,44
-124.11,41.22,1.171428571428571,2.0266,5.2565918,51
-124.11,44.29,-0.8004535147392289,2.4448,7.9988446,94
-124.11,46.83,-2.0285714285714285,2.56105,0.3917456,-1
-124.1,41.57,-0.5555555555555556,2.075,7.3635173,7
-124.1,48.22,-2.571428571428571,2.19619,7.2668796,-28
-124.09,41.31,0.8634920634920635,2.0377,5.3579431,25
-124.09,44.37,-0.47346938775510206,2.48405,0.5685276,10
-124.09,44.41,-0.47346938775510206,2.50241,0.9207456,1
-124.08,41.52,0.3015873015873016,2.069,8.1630812,54
-124.08,41.54,0.3015873015873016,2.07271,1.4656445,19
-124.08,44.51,-0.2258503401360544,2.492,1.9189655,-2
-124.08,44.68,-1.181894297052154,2.4833,0.8461245,-8
-124.08,46.26,-2.117460317460317,2.44072,0.5540033,-17
-124.08,46.72,-2.1968253968253966,2.55843,0.1871095,-8
-124.08,46.86,-2.015873015873016,1.975,0.4026124,8
-124.07,40.02,0.16603048299319725,1.865,2.0092907,-13
-124.07,41.38,0.5682539682539682,2.0485,5.8213315,60
-124.07,41.46,0.3015873015873016,2.05935,4.6056228,24
-124.07,44.61,-0.6099773242630385,2.47602,2.2773044,-16
-124.07,44.63,-0.6099773242630385,2.47585,1.5484672,-3
-124.07,44.69,-1.181894297052154,2.4848,2.3027997,3
-124.07,44.8,-1.26760858276644,2.50141,2.7367663,16
-124.07,46.29,-2.117460317460317,2.379,1.8254714,14
-124.07,46.64,-2.2666666666666666,2.51572,0.3462586,-2
-124.06,44.66,-1.181894297052154,2.48,1.5018144,4
-124.06,44.75,-1.2644339795918365,2.50881,5.8736224,49
-124.06,46.28,-2.117460317460317,2.39122,1.5390009,6
-124.06,46.34,-2.117460317460317,2.392,0.4802842,2
-124.06,46.44,-2.3492063492063493,2.41755,0.635062,-3
-124.06,46.54,-2.253968253968254,2.4442,0.4964855,4
-124.05,44.84,-1.2580847732426303,2.47324,2.4789126,6
-124.05,46.3,-2.117460317460317,2.39553,2.6660514,53
-124.05,46.86,-2.0126984126984127,1.93422,0.9170935,12
-124.05,47.03,-2.019047619047619,2.14219,0.7010939,-3
-124.04,44.89,-1.1691958843537413,2.43409,1.4992598,-4
-124.04,46.27,-2.1365079365079365,2.54712,0.6056901,-10
-124.04,46.9,-2.0095238095238095,2.86994,0.4604025,0
-124.03,44.89,-1.1691958843537413,1.91813,0.7341678,21
-124.03,44.9,-1.1691958843537413,1.88659,0.7132983,6
