X,Y,SLR,TR,Slope,Elevation
-97.63888937,27.25773194,1.2952380952380953,0.0,0.2804493,-2
-97.56587116,27.31670067,1.2999999999999998,0.0,0.3824542,-1
-97.54125458,27.23300458,1.2904761904761906,0.0,0.2855333,-1
-97.53698075,27.28947727,1.2904761904761906,0.0,0.3349954,-1
-97.48932461,27.37106728,1.2666666666666664,0.0,0.3729312,-3
-97.43258852,27.2688886,1.4095238095238094,0.0,0.1332098,-1
-97.42189352,26.55633833,1.2999999999999998,0.0,0.4837662,-3
-97.40832061,27.32189539,1.4047619047619049,0.0,0.1469066,0
-97.39328006,27.29395389,1.4095238095238094,0.0,0.0,1
-97.37782444,27.85815809,1.3333333333333333,0.21479,0.1179327,-3
-97.37040721,27.0571548,1.3476190476190475,0.5041,0.3112485,-7
-97.36671528,27.76071598,1.3333333333333333,0.18923,0.0979378,-4
-97.3587426,26.89082445,1.3285714285714285,0.5026,0.2946262,-5
-97.35073645,27.20130063,1.4238095238095239,0.5046,0.3462586,-9
-97.32374875,26.74359608,1.380952380952381,0.5001,0.4252052,-7
-97.30864728,27.36945178,1.461904761904762,0.5038,0.3342789,-5
-97.28987694,27.71319153,1.438095238095238,0.18727,0.0619414,-4
-97.28560083,26.60655162,1.3857142857142855,0.4964,0.2880417,-3
-97.28097459,27.85388309,1.5952380952380951,0.1911,0.0,-4
-97.2475206,27.63515425,1.461904761904762,0.09366,0.4183836,-5
-97.22970962,26.4709389,1.3666666666666667,0.49551,0.3462586,-7
-97.22091603,27.56135637,1.4476190476190476,0.49876,0.2646118,-6
-97.21537126,26.06147023,1.5523809523809522,0.41386,0.1332098,5
-97.19877071,26.35005587,1.3666666666666667,0.4958,0.3042359,-5
-97.19302845,27.80647854,1.438095238095238,0.17576,0.4428829,-6
-97.17734845,26.25359238,1.3761904761904762,0.49606,0.3767693,-7
-97.16617072,26.16698696,1.419047619047619,0.4974,0.3716431,-5
-97.15540792,26.06754396,1.4428571428571426,0.46048,0.9627443,-17
-97.14622,25.958594,1.5571428571428572,0.4925,0.4998547,5
-97.13249719,27.71401109,1.4476190476190476,0.5012,0.2708809,-5
-97.06560094,27.84141992,1.461904761904762,0.32894,1.4556386,-14
-97.0235728,27.83255668,1.6809523809523808,0.50878,0.0902942,-11
-96.92188606,27.9822494,2.338095238095238,0.50749,0.2708809,-7
-96.83456807,28.41372501,3.7761904761904757,0.1244,0.0,-1
-96.79357528,28.09844015,2.3047619047619046,0.50736,0.2019034,-7
-96.77484309,28.22158583,2.2904761904761903,0.11372,0.0,-2
-96.71601642,28.40172249,3.795238095238095,0.11813,0.0875983,-1
-96.69459267,28.32134988,3.880952380952381,0.1168,0.0979378,-1
-96.64860076,28.20569459,5.033333333333333,0.5069,0.4183836,-3
-96.60168493,28.63965528,3.7904761904761903,0.28372,0.0692525,-1
-96.51795705,28.58594306,3.8095238095238093,0.2753,0.0,-2
-96.51429103,28.27469191,4.152380952380952,0.50657,0.1667818,-8
-96.50462606,28.37561169,3.8095238095238093,0.11672,0.0,-2
-96.38309821,28.4468651,3.8095238095238093,0.24236,0.0619414,-4
-96.32950003,28.42700575,3.8095238095238093,0.53503,0.6228638,-26
-96.2796656,28.66200418,3.7714285714285714,0.28687,0.0309707,-2
-96.16758652,28.51049978,3.819047619047619,0.51036,0.3917456,-3
-96.1330247,28.60057448,3.7857142857142856,0.2863,0.048969,-1
-96.02927749,28.57198211,3.7857142857142856,0.5059,0.434686,-3
-95.87763748,28.63050333,3.8380952380952382,0.50178,0.3427787,-3
-95.72933021,28.69630072,4.233333333333333,0.49853,0.220087,-5
-95.6061645,28.75504492,4.604761904761904,0.5042,0.2563264,-5
-95.45611156,28.83255966,5.4714285714285715,0.5083,0.07896,-7
-95.2971395,28.92711156,5.5,0.53409,0.180588,-3
-95.18915848,29.00846222,5.533333333333332,0.55238,0.1385049,-5
-95.11347954,29.07828273,5.266666666666667,0.52382,0.0875983,-1
-95.00387104,29.55268217,3.704761904761904,0.35911,0.048969,-2
-94.98356128,29.68576694,3.638095238095238,0.39923,0.3611724,-2
-94.96959707,29.17141144,4.3809523809523805,0.58334,0.1710407,-6
-94.90634364,29.48567546,3.704761904761904,0.33397,0.0619414,-1
-94.88306654,29.3023361,4.39047619047619,0.36879,0.0218996,-3
-94.87056114,29.39745791,3.704761904761904,0.31673,0.0218996,-2
-94.85889652,29.68161262,3.633333333333333,0.39009,0.2019034,0
-94.7896287,29.26565339,4.3619047619047615,0.61255,0.0692525,-6
-94.74225036,29.58601708,3.6285714285714286,0.38465,0.0692525,-1
-94.73225212,29.7597596,3.5857142857142854,0.41695,0.0437992,-1
-94.72725299,29.43664906,4.042857142857143,0.3435,0.048969,-1
-94.68726002,29.53383584,3.6714285714285713,0.36421,0.1469066,-1
-94.65654247,29.3445646,4.276190476190476,0.6312,0.0692525,-10
-94.59466296,29.45387677,3.619047619047619,0.6751,0.1238826,-6
-94.51386039,29.52322358,3.619047619047619,0.3881,0.2156849,0
-94.41469459,29.5269807,3.557142857142857,0.69384,0.1710407,-5
-94.39223783,29.59605086,3.619047619047619,0.3352,0.048969,2
-94.26172148,29.5895992,3.595238095238095,0.69573,0.1548531,-3
-94.12859155,29.64045972,3.557142857142857,0.69851,0.1667818,-3
-93.98694977,29.67666126,3.538095238095238,0.6962,0.3874373,-2
-93.93153071,29.86726771,3.2619047619047614,0.31783,0.1094978,3
-93.83372336,29.6857561,3.5095238095238095,0.62494,0.8338525,-17
-93.72532909,29.73310964,3.4428571428571426,0.70387,0.1765596,-2
-93.58702006,29.75191871,3.4095238095238094,0.71679,0.2358644,-3
-93.45371016,29.76493831,3.4428571428571426,0.7208,0.1765596,-2
-93.34189974,29.75824594,3.452380952380952,0.71251,0.1765596,-2
-93.24252195,29.76987257,3.2714285714285714,0.721,0.0692525,-3
-93.06421995,29.73370463,3.714285714285714,0.70363,0.2233317,-1
-92.87591971,29.66712153,3.714285714285714,0.68372,0.2065994,-2
-92.7250129,29.6037398,3.5476190476190474,0.6644,0.0902942,-4
-92.56670739,29.56751205,5.138095238095238,0.65733,0.2448433,-2
-92.413401,29.53707069,5.161904761904762,0.66262,0.0437992,-4
-92.30346262,29.53146734,5.161904761904762,0.672,0.1710407,-1
-92.17011043,29.57186006,5.157142857142857,0.64656,0.2189948,0
-92.09179086,29.68657993,5.128571428571428,0.51779,0.0619414,-4
-91.97781089,29.53533091,5.161904761904762,0.65584,0.0656987,-2
-91.8668304,29.64227184,4.957142857142857,0.50723,0.0979378,-1
-91.8668304,29.80897713,4.857142857142857,0.51032,0.1238826,-4
-91.74985096,29.51184091,5.061904761904761,0.50029,0.0,-2
-91.63887046,29.72826384,4.995238095238095,0.52342,0.0,-2
-91.5578847,29.59011969,5.014285714285713,0.53005,0.0,-2
-91.44150515,29.4507414,5.038095238095238,0.57704,0.0,-2
-91.29153151,29.3775825,5.057142857142856,0.60901,0.0,-2
-91.26453625,29.22587175,5.057142857142856,0.51443,0.1238826,-2
-91.2376,29.6675,5.052380952380952,0.196,0.2637041,9
-91.0370429,29.16384388,5.533333333333332,0.4727,0.0,-2
-90.92206311,29.10853416,5.628571428571428,0.46161,0.0,-2
-90.76209123,29.0269709,5.60952380952381,0.4183,0.0619414,-4
-90.54859542,29.00173149,6.242857142857142,0.41263,0.0218996,-10
-90.2300514,29.03950088,6.257142857142856,0.40799,0.1238826,-11
-90.1900251,30.32471554,4.809523809523809,0.17144,0.1238826,-37
-90.11105139,30.03067884,1.657142857142857,0.156,0.3255573,0
-90.08739538,29.1435654,6.247619047619047,0.4117,0.1094978,-8
-89.93981742,29.25262849,1.7904761904761903,0.41509,0.0437992,-4
-89.74010418,29.27579842,1.7952380952380949,0.42921,0.0619414,-8
-89.67242736,29.8739811,1.4904761904761903,0.464,0.048969,-2
-89.60812737,29.13703694,1.8333333333333333,0.42162,0.0,-13
-89.58533138,30.14279381,1.4857142857142858,0.41,0.0692525,-3
-89.53614003,29.57101946,1.4999999999999998,0.44661,0.7739105,-13
-89.42995452,30.20818555,1.452380952380952,0.48886,0.0619414,-2
-89.40990605,28.90952253,1.8333333333333333,0.39131,0.1958751,-10
-89.4071627,29.41437175,1.5714285714285712,0.41938,0.0309707,-3
-89.37716797,29.10821386,1.6380952380952383,0.407,0.1385049,-18
-89.31997682,30.32391937,1.4904761904761903,0.527,0.0902942,-2
-89.27518589,28.92985577,1.6857142857142855,0.3869,0.3233401,-40
-89.25119011,29.79772746,1.514285714285714,0.47236,0.0218996,-1
-89.14833735,30.33626959,1.6619047619047618,0.51059,0.1116663,-2
-89.01723123,29.33072737,1.6714285714285713,0.39008,0.0692525,-14
-89.00336283,30.3794063,1.614285714285714,0.51426,0.3112485,-2
-88.98423703,29.08724655,1.6857142857142855,0.38247,0.6820265,-29
-88.80106505,30.35640242,1.5190476190476192,0.5122,0.0218996,-1
-88.56006638,30.33620164,1.4666666666666666,0.46811,0.5697914,-12
-88.34476747,30.39159616,1.476190476190476,0.45812,0.0875983,1
-88.20868028,30.35325814,1.438095238095238,0.46227,0.0,-1
-88.09610747,30.38517559,1.438095238095238,0.43394,0.0692525,-1
-88.09414485,30.50403136,1.0142857142857142,0.47669,0.1094978,-2
