X,Y,HTF_threshold,SLR,TR,Slope_GEBCO_West,Elevation
-77.98620893,34.20055979,0.25,4.349796866,1.453,0.1765596,-1
-77.98620893,34.26055979,0.25,4.349796866,1.357,0.1667818,0
-73.66620893,40.62055979,0.29406,5.576057286,1.54634,0.048969,-2
-73.656111,40.608889,0.29406,5.583993794,1.53474,0.1332098,0
-73.60620893,40.62055979,0.29406,5.576057286,1.44479,0.0656987,-2
-74.62620893,39.30055979,0.3061,5.878813177,1.33202,0.0656987,-1
-74.575556,39.285833,0.3061,5.878813177,1.30934,0.3729312,-2
-74.56620893,39.30055979,0.3061,5.832245145,1.32632,0.1094978,-4
-74.08620893,39.72055979,0.30968,5.382836351,1.18283,0.0692525,-10
-74.08620893,39.78055979,0.30968,5.362527506,1.24982,0.2708809,-8
-77.02620893,38.88055979,0.315,5.239979027,0.9769,0.9403237,4
-77.02167,38.87333,0.315,5.239979027,0.97699,0.2846923,-7
-76.96620893,38.88055979,0.315,5.239979027,0.99653,1.2419194,10
-74.08620893,40.02055979,0.32474,5.363211077,0.207,0.1751961,2
-74.054444,40.040556,0.32474,5.383519923,0.19342,0.1579198,-1
-74.02620893,40.02055979,0.32474,5.389013016,1.3729,0.0979378,-19
-75.068056,38.609722,0.34006,5.863426315,0.9401,0.048969,1
-75.04620893,38.58055979,0.34006,5.884802728,1.22382,0.1179327,-8
-75.04620893,38.64055979,0.34006,5.884802728,1.25297,0.0309707,-9
-73.737778,40.593056,0.3439,5.294506501,1.4849,0.1958751,-8
-73.72620893,40.56055979,0.3439,5.294506501,1.48806,0.1179327,-13
-73.72620893,40.62055979,0.3439,5.294506501,1.888,0.0979378,10
-77.80620893,34.20055979,0.344424,4.867373245,1.38593,0.2019034,-2
-77.7867,34.2133,0.344424,4.867373245,1.31098,0.2921744,-2
-77.74620893,34.20055979,0.344424,4.897799336,1.36885,0.1094978,-15
-78.94620893,33.66055979,0.35052,4.936755909,1.706,0.0656987,1
