X,Y,SLR,TR,Slope,Elevation
-124.71,48.13,0.5952380952380952,2.67666,2.5441475,10
-124.71,48.39,-0.09523809523809523,2.52541,10.552784,-58
-124.7,48.25,0.37301587301587297,2.67726,1.3397528,-11
-124.69,47.93,0.6031746031746033,2.6476,0.0619414,-27
-124.69,48.04,0.5952380952380952,2.66766,1.3971843,-1
-124.69,48.34,-0.11904761904761904,2.66722,3.5898306,33
-124.58,47.87,0.8969954648526077,2.6448,4.1431251,-9
-124.58,48.37,-0.2508219954648526,2.43327,6.7776074,40
-124.57,42.84,2.5238095238095237,2.25053,2.1470525,-6
-124.52,42.75,2.5238095238095237,2.2215,0.9539901,-1
-124.51,42.9,2.5238095238095237,2.2736,0.667099,1
-124.48,47.78,0.0768896439909297,2.6485,4.008306,-2
-124.47,42.97,2.5079365079365084,2.2842,0.1276952,3
-124.46,48.32,-0.15558390022675736,2.35556,6.1399837,89
-124.45,42.67,2.579365079365079,2.2104,1.2604978,-32
-124.44,42.44,2.0614764421768705,2.17881,0.9909633,-1
-124.44,43.05,1.4208049886621315,2.2937,0.989511,7
-124.43,42.32,2.0535399342403626,2.12894,4.200882,-13
-124.43,42.33,2.0535399342403626,2.13431,8.5722589,45
-124.43,42.34,2.0852859659863943,2.13673,4.0749655,-8
-124.43,42.39,2.0614764421768705,2.15615,0.3830806,-7
-124.43,42.42,2.0614764421768705,2.1701,0.692492,-5
-124.43,42.42,2.0614764421768705,2.1701,0.692492,-5
-124.43,43.12,1.4208049886621315,2.31519,1.4030029,14
-124.42,42.32,2.0535399342403626,2.12759,3.5175288,19
-124.42,42.43,2.0614764421768705,2.17481,6.7062049,61
-124.42,42.46,2.0694129501133784,2.1864,4.3829393,56
-124.42,42.5,2.0694129501133784,2.1903,2.4947829,21
-124.42,47.71,0.2433862426303855,2.64671,2.9371941,10
-124.41,40.44,4.4433106575963714,1.90824,5.2098727,28
-124.41,42.25,2.0535399342403626,2.10229,2.5379355,24
-124.41,42.28,2.0535399342403626,2.1141,1.1117902,0
-124.41,42.3,2.0535399342403626,2.12065,4.0498118,34
-124.4,42.24,2.023423721088435,2.09489,4.0763683,1
-124.4,43.19,1.4208049886621315,2.31045,1.6466807,3
-124.4,43.31,1.4208049886621315,2.31225,3.6757736,3
-124.39,42.23,1.9996141972789117,2.09075,4.8720274,19
-124.39,42.57,2.0614764421768705,2.1989,3.9825461,35
-124.39,43.27,1.4208049886621315,2.31235,2.2633915,-2
-124.39,47.64,0.14831821541950113,2.64551,3.2010469,19
-124.38,42.2,1.9996141972789117,2.08005,1.9090828,-15
-124.38,42.21,1.9996141972789117,2.08355,2.1964245,-2
-124.37,40.35,3.8397183424036276,1.90351,1.4130429,-11
-124.37,40.54,4.4433106575963714,1.93045,4.5903697,29
-124.37,42.15,1.9996141972789117,2.06269,3.3163726,-16
-124.37,42.16,1.9996141972789117,2.0663,3.5040724,-14
-124.37,42.17,1.9996141972789117,2.06965,3.2639096,-14
-124.37,42.19,1.9996141972789117,2.0763,7.1527801,-14
-124.36,40.26,3.8397183424036276,1.91272,6.7191119,76
-124.36,42.12,2.039296736961451,2.05205,3.6271784,-13
-124.36,42.12,2.039296736961451,2.05205,3.6271784,-13
-124.36,42.14,2.039296736961451,2.05921,2.569031,-9
-124.36,42.14,2.039296736961451,2.05921,2.569031,-9
-124.36,42.16,1.9996141972789117,2.0669,7.3080645,62
-124.36,42.17,1.9996141972789117,2.07025,5.5207191,71
-124.36,47.55,0.31498488208616776,2.64205,1.3141097,6
-124.35,42.1,2.039296736961451,2.04334,3.8247335,23
-124.35,42.11,2.039296736961451,2.0476,5.5292497,19
-124.35,42.13,2.039296736961451,2.0557,7.6295981,45
-124.35,47.48,0.30704837414965985,2.63975,1.0684772,-2
-124.33,43.36,1.4208049886621315,2.32717,0.5301178,-7
-124.33,47.39,0.4022864693877551,2.6361,1.8994006,-1
-124.33,48.28,0.42361111111111105,2.29196,3.355444,-11
-124.32,40.63,4.4433106575963714,1.92275,0.2358644,0
-124.32,42.08,2.029730410430839,2.03205,2.7054,46
-124.32,43.35,1.4208049886621315,2.32698,1.1638188,-8
-124.29,40.2,3.1254326281179137,1.86819,8.71136,42
