X,Y,HTF_threshold,SLR,TR,Slope_GEBCO_West,Elevation
-97.48620893,27.84055979,0.515118264,9.584415585034012,0.19881,0.407349,-12
-97.48594,27.83275,0.515118264,9.584415585034012,0.20183,0.5223721,-4
-97.42620893,27.30055979,0.61,9.58874458956916,0.0,0.0656987,-1
-97.42620893,27.84055979,0.527358449,9.515151514739228,0.18514,0.3255573,-15
-97.40517,27.297,0.61,9.58874458956916,0.0,0.0,-1
-97.3891983,27.81489944,0.527358449,9.515151514739228,0.19211,0.7279368,-12
-97.389167,27.815,0.6096,9.515151514739228,0.19217,0.7279368,-12
-97.36620893,27.30055979,0.61,9.584415585034012,0.0,0.2358644,3
-97.36620893,27.48055979,0.754503048,9.575757575963719,0.0,0.0309707,8
-97.36620893,27.78055979,0.527358449,9.510822510204083,0.1898,0.048969,-4
-97.36620893,27.84055979,0.527358449,9.510822510204083,0.20502,0.048969,-2
-97.31811,27.48436,0.754503048,9.580086580498865,0.0,0.0875983,-1
-97.30620893,27.48055979,0.754503048,9.580086580498865,0.0,0.2077568,1
-97.24620893,26.04055979,0.343,9.402597403628118,0.438,0.2156849,1
-97.24620893,27.60055979,0.564646672,9.653679653061225,0.06467,0.0692525,4
-97.24620893,27.66055979,0.564646672,9.653679653061225,0.16575,0.1385049,-4
-97.2367,27.6333,0.564646672,9.653679653061225,0.11443,0.2855333,3
-97.2167,27.58,0.405244818,9.653679653061225,0.497,0.4091111,-1
-97.215,26.06,0.4572,9.458874458049886,0.418,0.1332098,5
-97.18620893,26.04055979,0.627888,9.424242424036281,0.30946,0.1548531,-24
-97.18620893,26.10055979,0.381,9.480519480725624,0.2813,0.1332098,-28
-97.18620893,27.60055979,0.405244818,9.67532467573696,0.49958,0.1116663,-11
-97.1767,26.0767,0.381,9.48484848526077,0.4,0.1765596,-20
-97.1548,26.0675,0.381,9.497835498866213,0.4669,0.9627443,-17
-97.12620893,26.04055979,0.383004633,9.489177489795917,0.4955,0.1858235,-12
-97.12620893,26.10055979,0.383004633,9.497835498866213,0.4984,0.1094978,-15
-97.0733,27.8383,0.393192,9.666666666666666,0.29966,0.4619623,-15
-97.06620893,27.84055979,0.393192,9.753246752834466,0.32584,1.4556386,-14
-97.06620893,28.02055979,0.393192,10.047619047619047,0.112,0.1579198,9
-97.0466667,28.0216667,0.393192,10.1298701292517,0.11101,0.5514005,-1
-97.0391,27.8366,0.27432,9.722943723356009,0.49016,0.180588,-19
-97.00620893,27.84055979,0.27432,9.722943723356009,0.50573,0.048969,-12
-97.00620893,28.02055979,0.554742746,10.1298701292517,0.11727,0.0218996,-3
-96.82620893,28.20055979,0.33528,10.23376623356009,0.10051,0.2496921,4
-96.82620893,28.26055979,0.33528,10.173160172335601,0.116,0.0218996,8
-96.795,28.2283,0.33528,10.181818181405895,0.12526,0.2637041,5
-96.76620893,28.20055979,0.33528,10.23376623356009,0.11268,0.048969,-2
-96.76620893,28.26055979,0.33528,10.173160172335601,0.11662,0.0,-2
-96.7117,28.4083,0.4572,11.92640692743764,0.11702,0.4026124,3
-96.70620893,28.38055979,0.4572,11.92640692743764,0.119,0.2646118,-1
-96.70620893,28.44055979,0.4572,11.92640692743764,0.125,0.0,6
-96.595,28.64,0.82296,11.956709956916098,0.283,0.0,-2
-96.58620893,28.62055979,0.82296,11.956709956916098,0.2822,0.0,-2
-96.58620893,28.68055979,0.82296,11.956709956916098,0.29186,0.0,-1
-96.40620893,28.44055979,0.82296,11.961038961451246,0.23194,0.1094978,1
-96.38833,28.45167,0.82296,11.961038961451246,0.23904,0.0656987,-4
-96.34620893,28.44055979,0.82296,12.01298701360544,0.24708,0.2673166,-6
-96.3301,28.4269,0.82296,11.969696970521541,0.53302,0.6228638,-26
-96.28620893,28.44055979,0.82296,12.01298701360544,0.51693,0.1094978,-8
-95.92620893,28.68055979,0.82296,12.255411256235828,0.0,0.0218996,-1
-95.92620893,28.74055979,0.82296,12.255411256235828,0.145,0.0437992,4
-95.9139,28.71,0.82296,12.255411256235828,0.0,0.0656987,2
-95.62620893,28.74055979,0.82296,12.48917748979592,0.49831,0.0902942,-7
-95.62620893,28.80055979,0.82296,12.303030303854873,0.129,0.0,3
-95.6168,28.77164,0.82296,12.303030303854873,0.14758,0.0218996,2
-95.32620893,28.92055979,0.82296,13.809523809523808,0.52919,0.4737497,8
-95.295,28.935,0.82296,13.809523809523808,0.5381,0.4252052,-1
-95.2942,28.93569,0.82296,13.809523809523808,0.53806,0.4252052,-1
-95.26620893,28.92055979,0.67231919,13.809523809523808,0.53669,0.048969,-9
-95.26620893,29.70055979,0.67056,12.333333333333332,0.49,0.2167938,8
-95.26620893,29.76055979,0.67056,12.333333333333332,0.447,0.1276952,14
-95.2658,29.72628,0.67056,12.333333333333332,0.50061,0.07896,4
-95.14620893,29.10055979,0.67056,13.74891774829932,0.27903,0.2019034,-1
-95.1133,29.095,0.67056,13.74891774829932,0.31405,0.1710407,2
-95.08620893,29.10055979,0.67056,13.74891774829932,0.56488,0.1765596,-4
-95.02620893,29.70055979,0.747480858,12.307359308390021,0.41976,0.4212394,5
-94.985,29.6817,0.6096,12.307359308390021,0.39982,0.4379832,6
-94.96620893,29.64055979,0.747480858,12.307359308390021,0.38062,0.1332098,-1
-94.96620893,29.70055979,0.747480858,12.307359308390021,0.39751,0.7934883,9
-94.9183,29.48,0.67056,12.329004328798186,0.335,0.4166607,6
-94.90620893,29.28055979,0.6096,12.354978356009068,0.34287,0.0656987,-2
-94.90620893,29.34055979,0.6096,12.354978356009068,0.37864,0.2496921,5
-94.90620893,29.46055979,0.861,12.329004328798186,0.32745,0.0,-2
-94.90620893,29.52055979,0.861,12.316017315192743,0.34271,0.0656987,-2
-94.8971,29.30258,0.6096,12.354978356009068,0.36499,0.2846923,-1
-94.7933,29.31,0.606552,12.354978356009068,0.42882,1.6148059,-9
-94.78620893,29.28055979,0.606552,12.354978356009068,0.61818,0.1871095,-5
-94.78620893,29.34055979,0.606552,12.354978356009068,0.40606,1.0124989,-11
-94.72620893,29.34055979,0.6096,12.341991342403627,0.50779,1.1272048,-13
-94.72620893,29.40055979,0.555646672,12.341991342403627,0.372,0.0309707,2
-94.7248,29.35733,0.6096,12.341991342403627,0.51689,0.3729312,-6
-94.54620893,29.52055979,0.658376006,12.030303029478457,0.38878,0.0656987,2
-94.5133,29.515,0.649224,12.02597402494331,0.40762,0.048969,2
-94.48620893,29.52055979,0.658376006,12.02597402494331,0.36736,0.092912,3
-94.42620893,29.58055979,0.884,12.0432900430839,0.387,0.048969,1
-94.3903,29.59472,0.618744,12.0432900430839,0.33537,0.0309707,3
-94.36620893,29.58055979,0.884,12.0432900430839,0.387,0.0309707,2
-93.88620893,29.70055979,0.731,11.809523809523808,0.566,0.0218996,3
-93.88620893,29.76055979,0.731,11.774891775510204,0.4007,0.9336721,1
-93.88620893,29.94055979,0.6096,11.757575757369615,0.305,0.3510727,5
-93.88620893,30.00055979,0.6096,11.74458874376417,0.322,0.0437992,1
-93.8817,29.98,0.6096,11.74458874376417,0.284,0.1094978,1
-93.8701,29.7284,0.603504,11.783549784580497,0.48708,0.8228552,-8
-93.84192,29.68939,0.630936,11.458874458049886,0.61459,0.6510935,-9
-93.82620893,29.70055979,0.630936,11.458874458049886,0.66169,0.3158371,2
-93.34620893,29.76055979,0.6096,11.20779220861678,0.67298,0.3135512,2
-93.34620893,30.18055979,0.6096,11.164502165532879,0.388,0.07896,8
-93.3429,29.76817,0.6096,11.20779220861678,0.59884,0.0902942,3
-93.3007,30.19031,0.6096,11.164502165532879,0.38995,0.1548531,7
