0,4,6,8,12,18,21,28,29,31,40,42,44,45,47,49,53,58,59,62,64,66,73,75,79,81,82,85,86,88,89,90,91,92,94,96,100,103,105,106,107,108,111,113,115,116,120,121,123,130,137,138,139,148,149,150,151,152,154,159,161,164,169,170,172,174,175,176,186,188,191,194,196,197,201,217,223,224,225,226,230,234,235,236,237,239,241,242,244,247,248,250,252,253,255,260,263,265,267,271,273,275,276,277,280,281,282,283,285,289,292,294,300,304,306,307,312,315,316,322,323,328,332,337,340,341,342,348,353,354,357,359,363,364,367,368,370,373,375,381,384,388,390,391,394,396,399,400,401,402,404,405,406,410,411,413,415,416,420,422,427,428,429,430,442,444,445,451,452,453,456,457,458,462,463,469,470,473,474,476,478,479,480,488,491,493,494,495,496
0.2,0.21,0.17,0.22,0.15,0.2,0.19,0.18,0.22,0.17,0.18,0.2,0.17,0.17,0.17,0.17,0.18,0.21,0.16,0.19,0.23,0.18,0.19,0.17,0.2,0.21,0.19,0.19,0.2,0.19,0.21,0.2,0.18,0.21,0.17,0.17,0.41,0.21,0.19,0.17,0.15,0.22,0.18,0.22,0.19,0.17,0.16,0.2,0.2,0.21,0.18,0.23,0.2,0.2,0.24,0.19,0.21,0.21,0.19,0.18,0.21,0.18,0.2,0.22,0.19,0.24,0.17,0.2,0.18,0.21,0.18,0.2,0.16,0.2,0.16,0.17,0.18,0.19,0.19,0.21,0.21,0.19,0.24,0.18,0.18,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.18,0.22,0.19,0.19,0.24,0.31,0.36,0.19,0.19,0.22,0.18,0.18,0.2,0.18,0.19,0.22,0.17,0.18,0.19,0.18,0.22,0.19,0.21,0.19,0.19,0.16,0.22,0.16,0.2,0.2,0.22,0.16,0.16,0.19,0.2,0.17,0.19,0.18,0.11,0.22,0.18,0.2,0.19,0.23,0.18,0.22,0.43,0.18,0.18,0.18,0.19,0.21,0.22,0.2,0.23,0.18,0.17,0.19,0.19,0.18,0.18,0.19,0.21,0.2,0.22,0.2,0.16,0.21,0.18,0.21,0.38,0.16,0.15,0.2,0.19,0.2,0.19,0.17,0.18,0.2,0.17,0.25,0.17,0.21,0.18,0.19,0.16,0.2,0.22,0.24,0.17,0.21,0.18,0.19,0.21,0.15
0.27,0.24,0.18,0.31,0.28,0.26,0.23,0.27,0.29,0.26,0.25,0.27,0.27,0.23,0.26,0.28,0.28,0.29,0.23,0.3,0.28,0.26,0.24,0.28,0.29,0.23,0.25,0.3,0.27,0.29,0.22,0.27,0.29,0.27,0.23,0.26,0.41,0.31,0.27,0.28,0.28,0.27,0.26,0.29,0.25,0.27,0.31,0.32,0.31,0.22,0.23,0.27,0.26,0.24,0.33,0.24,0.25,0.31,0.3,0.25,0.23,0.21,0.28,0.27,0.29,0.32,0.27,0.29,0.34,0.25,0.26,0.27,0.25,0.27,0.26,0.3,0.27,0.31,0.2,0.29,0.28,0.28,0.27,0.18,0.27,0.3,0.19,0.28,0.26,0.23,0.23,0.25,0.3,0.33,0.31,0.32,0.26,0.29,0.44,0.21,0.31,0.35,0.25,0.24,0.26,0.18,0.26,0.32,0.29,0.3,0.28,0.24,0.22,0.28,0.22,0.25,0.28,0.22,0.21,0.31,0.21,0.26,0.26,0.21,0.26,0.26,0.22,0.33,0.31,0.21,0.27,0.51,0.26,0.29,0.24,0.23,0.24,0.23,0.27,0.27,0.26,0.33,0.31,0.25,0.18,0.3,0.34,0.26,0.28,0.24,0.25,0.28,0.24,0.24,0.31,0.36,0.26,0.26,0.19,0.26,0.33,0.23,0.21,0.37,0.29,0.26,0.21,0.23,0.25,0.27,0.23,0.23,0.32,0.27,0.25,0.28,0.25,0.26,0.28,0.25,0.24,0.35,0.28,0.24,0.25,0.29,0.27,0.28,0.28
0.24,0.26,0.35,0.18,0.27,0.21,0.3,0.27,0.15,0.29,0.21,0.18,0.24,0.31,0.28,0.25,0.24,0.18,0.3,0.22,0.2,0.25,0.3,0.22,0.22,0.28,0.26,0.25,0.25,0.19,0.3,0.23,0.22,0.24,0.32,0.3,0.07,0.22,0.23,0.22,0.28,0.2,0.24,0.24,0.27,0.28,0.27,0.24,0.24,0.28,0.31,0.26,0.26,0.27,0.13,0.3,0.22,0.22,0.19,0.31,0.25,0.3,0.24,0.22,0.27,0.16,0.27,0.2,0.18,0.24,0.23,0.24,0.27,0.24,0.29,0.26,0.27,0.25,0.29,0.19,0.19,0.21,0.18,0.3,0.26,0.22,0.32,0.22,0.25,0.22,0.28,0.26,0.2,0.14,0.2,0.21,0.23,0.17,0.06,0.13,0.22,0.15,0.22,0.27,0.26,0.34,0.26,0.2,0.23,0.24,0.24,0.25,0.29,0.24,0.28,0.22,0.23,0.29,0.34,0.14,0.29,0.21,0.27,0.28,0.29,0.26,0.33,0.12,0.23,0.3,0.26,0.15,0.22,0.25,0.27,0.26,0.25,0.24,0.2,0.11,0.29,0.12,0.22,0.32,0.31,0.19,0.26,0.23,0.26,0.27,0.26,0.23,0.3,0.25,0.2,0.13,0.28,0.27,0.32,0.28,0.14,0.29,0.25,0.13,0.24,0.32,0.26,0.26,0.28,0.26,0.3,0.31,0.19,0.23,0.26,0.22,0.26,0.27,0.24,0.26,0.26,0.13,0.19,0.31,0.25,0.2,0.26,0.25,0.27
0.15,0.18,0.16,0.2,0.18,0.16,0.14,0.18,0.22,0.16,0.22,0.19,0.16,0.18,0.16,0.16,0.18,0.18,0.18,0.16,0.18,0.15,0.15,0.19,0.17,0.15,0.17,0.16,0.15,0.19,0.13,0.17,0.17,0.17,0.15,0.16,0.1,0.14,0.16,0.19,0.15,0.17,0.18,0.13,0.18,0.16,0.15,0.13,0.14,0.16,0.16,0.14,0.16,0.17,0.17,0.13,0.19,0.14,0.21,0.13,0.15,0.14,0.15,0.16,0.13,0.15,0.17,0.18,0.17,0.15,0.16,0.17,0.19,0.18,0.18,0.13,0.16,0.16,0.14,0.17,0.16,0.21,0.16,0.14,0.16,0.17,0.15,0.18,0.16,0.17,0.14,0.16,0.17,0.2,0.12,0.15,0.19,0.16,0.13,0.17,0.16,0.18,0.16,0.16,0.17,0.13,0.16,0.16,0.16,0.15,0.18,0.18,0.16,0.15,0.16,0.16,0.16,0.19,0.14,0.18,0.2,0.19,0.15,0.15,0.12,0.2,0.12,0.19,0.17,0.16,0.16,0.19,0.17,0.16,0.16,0.2,0.13,0.19,0.16,0.14,0.15,0.21,0.14,0.13,0.16,0.15,0.1,0.16,0.15,0.2,0.17,0.19,0.13,0.16,0.15,0.17,0.16,0.12,0.14,0.17,0.17,0.14,0.21,0.1,0.16,0.12,0.18,0.16,0.14,0.16,0.17,0.16,0.14,0.18,0.12,0.19,0.18,0.15,0.14,0.18,0.16,0.14,0.15,0.16,0.15,0.19,0.14,0.16,0.16
0.07,0.07,0.08,0.04,0.07,0.1,0.09,0.05,0.05,0.07,0.1,0.08,0.1,0.07,0.08,0.09,0.06,0.08,0.07,0.06,0.06,0.08,0.06,0.07,0.06,0.08,0.07,0.06,0.07,0.1,0.1,0.08,0.09,0.06,0.08,0.06,0.0,0.06,0.08,0.06,0.09,0.07,0.08,0.06,0.07,0.07,0.06,0.05,0.05,0.07,0.07,0.06,0.06,0.07,0.07,0.08,0.06,0.06,0.05,0.07,0.07,0.11,0.07,0.08,0.07,0.08,0.07,0.06,0.08,0.09,0.09,0.08,0.07,0.06,0.06,0.07,0.07,0.05,0.07,0.07,0.09,0.06,0.09,0.12,0.08,0.07,0.07,0.07,0.08,0.1,0.07,0.07,0.07,0.09,0.08,0.07,0.08,0.09,0.04,0.11,0.06,0.08,0.09,0.1,0.07,0.07,0.08,0.07,0.06,0.09,0.07,0.08,0.07,0.06,0.08,0.09,0.08,0.06,0.09,0.1,0.07,0.08,0.08,0.09,0.11,0.06,0.06,0.09,0.07,0.09,0.07,0.0,0.08,0.06,0.06,0.06,0.09,0.07,0.07,0.04,0.07,0.07,0.08,0.07,0.07,0.07,0.06,0.07,0.08,0.07,0.07,0.06,0.07,0.09,0.1,0.07,0.06,0.07,0.07,0.08,0.1,0.07,0.07,0.01,0.08,0.09,0.09,0.07,0.07,0.04,0.07,0.05,0.08,0.08,0.07,0.1,0.05,0.07,0.09,0.06,0.07,0.09,0.08,0.07,0.09,0.08,0.07,0.06,0.07
0.06,0.04,0.06,0.05,0.05,0.07,0.06,0.06,0.07,0.05,0.06,0.07,0.06,0.04,0.05,0.05,0.06,0.06,0.05,0.08,0.05,0.08,0.06,0.08,0.07,0.04,0.06,0.05,0.05,0.05,0.05,0.06,0.05,0.06,0.06,0.05,0.02,0.05,0.07,0.08,0.06,0.09,0.06,0.06,0.05,0.04,0.05,0.06,0.05,0.06,0.05,0.05,0.06,0.05,0.07,0.06,0.07,0.06,0.06,0.06,0.09,0.06,0.05,0.05,0.04,0.04,0.05,0.06,0.05,0.05,0.08,0.04,0.06,0.05,0.05,0.07,0.05,0.05,0.1,0.07,0.08,0.05,0.07,0.08,0.05,0.05,0.06,0.06,0.05,0.07,0.07,0.06,0.06,0.06,0.07,0.06,0.06,0.06,0.03,0.03,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.04,0.06,0.09,0.05,0.07,0.07,0.06,0.06,0.07,0.06,0.07,0.06,0.05,0.05,0.06,0.07,0.08,0.06,0.06,0.06,0.06,0.03,0.05,0.06,0.06,0.06,0.06,0.09,0.08,0.0,0.05,0.09,0.07,0.04,0.06,0.06,0.05,0.07,0.06,0.05,0.06,0.05,0.07,0.08,0.05,0.06,0.04,0.05,0.08,0.05,0.06,0.09,0.05,0.01,0.07,0.05,0.07,0.1,0.06,0.07,0.05,0.06,0.07,0.06,0.06,0.05,0.05,0.06,0.06,0.08,0.07,0.06,0.06,0.05,0.06,0.07,0.07,0.05,0.07
