2,5,6,8,10,11,12,13,14,16,18,19,20,21,22,23,24,26,27,29,30,31,32,33,34,36,37,38,39,40,41,44,45,46,47,49,50,52,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,81,82,83,85,87,88,89,90,91,92,93,94,96,97,98,99,100,101,103,104,105,108,109,110,111,112,113,115,116,117,118,119,121,122,123,124,125,126,127,128,129,130,133,136,137,138,139,140,141,142,144,145,146,148,150,151,152,154,155,159,160,161,162,165,167,168,169,171,175,176,180,181,182,183,184,185,186,187,188,190,191,193,194,195,196,197,198,199,200,201,202,203,204,206,208,210,211,212,213,214,215,217,218,219,220,221,223,224,225,226,227,229,231,232,234,235,236,237,238,239,240,242,243,244,245,246,247,248,249,250,251,252,253,254,256,257,259,260,261,262,263,264,267,268,269,270,271,272,273,275,277,279,280,281,282,284,285,286,287,288,289,290,291,293,294,295,297,298,299,300,301,303,304,305,306,307,308,311,312,313,314,315,317,318,319,321,322,323,324,325,326,327,328,331,332,333,334,336,337,338,339,340,341,342,343,344,345,346,350,351,352,353,354,356,357,358,359,360,362,365,368,369,370,371,372,373,374,375,376,378,379,380,382,384,385,386,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,410,411,412,414,415,416,419,420,421,423,424,425,427,429,430,431,432,434,435,436,437,438,439,441,442,443,444,445,446,448,449,450,451,454,455,456,457,458,459,460,461,462,463,464,465,466,468,469,470,472,473,475,476,478,479,480,481,482,483,484,486,487,488,489,490,491,492,493,494,496,499
0.48,0.49,0.5,0.5,0.63,0.49,0.51,0.45,0.58,0.56,0.46,0.48,0.52,0.48,0.52,0.47,0.53,0.5,0.5,0.53,0.52,0.49,0.49,0.49,0.55,0.53,0.51,0.48,0.52,0.52,0.52,0.54,0.54,0.51,0.53,0.55,0.45,0.49,0.5,0.54,0.52,0.52,0.51,0.47,0.5,0.45,0.49,0.46,0.5,0.5,0.53,0.51,0.49,0.52,0.49,0.53,0.56,0.49,0.48,0.57,0.51,0.54,0.47,0.53,0.5,0.53,0.49,0.54,0.46,0.46,0.5,0.52,0.49,0.55,0.5,0.54,0.48,0.49,0.51,0.5,0.49,0.46,0.58,0.48,0.54,0.57,0.51,0.52,0.5,0.51,0.54,0.49,0.47,0.51,0.54,0.57,0.52,0.52,0.54,0.58,0.47,0.5,0.5,0.51,0.61,0.45,0.48,0.54,0.48,0.5,0.56,0.5,0.48,0.51,0.56,0.46,0.47,0.49,0.55,0.51,0.52,0.53,0.52,0.57,0.51,0.5,0.48,0.5,0.51,0.48,0.51,0.49,0.51,0.48,0.53,0.5,0.54,0.49,0.46,0.52,0.56,0.6,0.51,0.48,0.49,0.47,0.53,0.52,0.49,0.52,0.48,0.48,0.47,0.53,0.52,0.49,0.49,0.53,0.45,0.47,0.51,0.45,0.49,0.54,0.52,0.52,0.51,0.49,0.48,0.51,0.45,0.55,0.49,0.51,0.52,0.47,0.56,0.53,0.51,0.52,0.53,0.51,0.52,0.52,0.48,0.54,0.53,0.54,0.53,0.49,0.5,0.53,0.46,0.53,0.48,0.56,0.49,0.5,0.4,0.49,0.53,0.48,0.59,0.5,0.52,0.49,0.56,0.5,0.54,0.49,0.52,0.46,0.48,0.51,0.49,0.5,0.5,0.47,0.58,0.51,0.55,0.55,0.5,0.53,0.48,0.49,0.52,0.51,0.56,0.56,0.51,0.54,0.48,0.53,0.46,0.55,0.57,0.49,0.49,0.55,0.51,0.54,0.51,0.49,0.49,0.51,0.57,0.51,0.54,0.53,0.54,0.5,0.52,0.48,0.53,0.55,0.5,0.56,0.46,0.49,0.51,0.5,0.54,0.52,0.51,0.52,0.46,0.54,0.52,0.52,0.52,0.5,0.49,0.49,0.59,0.53,0.52,0.52,0.5,0.52,0.52,0.51,0.51,0.48,0.52,0.53,0.49,0.5,0.53,0.5,0.49,0.52,0.5,0.5,0.5,0.57,0.48,0.51,0.48,0.52,0.51,0.48,0.49,0.48,0.51,0.46,0.53,0.53,0.5,0.55,0.47,0.51,0.58,0.62,0.59,0.51,0.51,0.46,0.52,0.54,0.48,0.49,0.51,0.53,0.49,0.54,0.59,0.57,0.53,0.5,0.51,0.48,0.49,0.47,0.5,0.51,0.44,0.57,0.48,0.58,0.57,0.5,0.51,0.57,0.5,0.51,0.52,0.53,0.53,0.5,0.5,0.54,0.57,0.52,0.49,0.56,0.47,0.48,0.57,0.5,0.58,0.52,0.46,0.53,0.54,0.52,0.51,0.5,0.47,0.52,0.48,0.54,0.52,0.5,0.49,0.7,0.48,0.47,0.55,0.51,0.49,0.53,0.48,0.54,0.52,0.52,0.49,0.49,0.49,0.52,0.54
0.2,0.18,0.2,0.18,0.14,0.18,0.17,0.17,0.14,0.2,0.15,0.16,0.18,0.17,0.15,0.18,0.18,0.16,0.16,0.22,0.14,0.2,0.2,0.18,0.19,0.17,0.18,0.18,0.18,0.17,0.21,0.2,0.16,0.16,0.18,0.19,0.18,0.19,0.19,0.19,0.17,0.21,0.18,0.2,0.16,0.22,0.2,0.17,0.16,0.14,0.19,0.15,0.19,0.21,0.14,0.2,0.19,0.17,0.17,0.12,0.19,0.18,0.19,0.17,0.16,0.21,0.18,0.17,0.18,0.2,0.19,0.2,0.17,0.22,0.2,0.17,0.16,0.19,0.17,0.2,0.2,0.2,0.16,0.2,0.27,0.2,0.18,0.2,0.18,0.2,0.19,0.16,0.15,0.22,0.18,0.17,0.2,0.16,0.16,0.13,0.2,0.17,0.19,0.16,0.12,0.19,0.17,0.19,0.15,0.17,0.13,0.18,0.2,0.17,0.16,0.19,0.24,0.17,0.2,0.19,0.18,0.21,0.19,0.13,0.14,0.19,0.17,0.18,0.19,0.19,0.2,0.17,0.2,0.22,0.16,0.2,0.16,0.18,0.23,0.18,0.15,0.19,0.21,0.19,0.19,0.17,0.18,0.2,0.18,0.17,0.18,0.17,0.18,0.15,0.13,0.2,0.24,0.2,0.18,0.2,0.2,0.17,0.2,0.14,0.18,0.22,0.2,0.21,0.18,0.22,0.22,0.18,0.21,0.23,0.19,0.17,0.18,0.2,0.18,0.22,0.17,0.23,0.16,0.21,0.17,0.17,0.16,0.2,0.21,0.2,0.19,0.14,0.19,0.16,0.15,0.16,0.15,0.22,0.17,0.16,0.15,0.24,0.14,0.2,0.21,0.22,0.18,0.14,0.18,0.16,0.18,0.17,0.2,0.2,0.18,0.2,0.23,0.24,0.16,0.19,0.19,0.2,0.18,0.23,0.15,0.21,0.2,0.16,0.15,0.16,0.19,0.15,0.18,0.17,0.21,0.17,0.17,0.15,0.18,0.14,0.18,0.18,0.23,0.2,0.17,0.2,0.2,0.19,0.17,0.18,0.21,0.19,0.18,0.19,0.15,0.2,0.17,0.17,0.18,0.19,0.2,0.17,0.21,0.2,0.18,0.18,0.17,0.19,0.2,0.18,0.2,0.19,0.21,0.2,0.15,0.14,0.16,0.14,0.16,0.2,0.19,0.19,0.19,0.18,0.17,0.17,0.14,0.17,0.19,0.2,0.16,0.19,0.22,0.19,0.18,0.16,0.19,0.17,0.22,0.2,0.16,0.18,0.16,0.2,0.18,0.17,0.21,0.19,0.22,0.18,0.21,0.15,0.23,0.16,0.17,0.2,0.21,0.14,0.17,0.19,0.2,0.18,0.2,0.16,0.17,0.15,0.17,0.15,0.16,0.17,0.2,0.22,0.2,0.18,0.14,0.21,0.27,0.16,0.18,0.18,0.16,0.16,0.18,0.19,0.17,0.17,0.18,0.17,0.18,0.21,0.17,0.14,0.15,0.19,0.16,0.19,0.16,0.18,0.18,0.19,0.13,0.17,0.19,0.16,0.2,0.15,0.2,0.18,0.2,0.11,0.2,0.14,0.18,0.21,0.21,0.07,0.21,0.22,0.19,0.21,0.19,0.21,0.18,0.17,0.16,0.17,0.18,0.2,0.16,0.19,0.16
0.08,0.1,0.07,0.09,0.09,0.09,0.11,0.16,0.09,0.07,0.17,0.16,0.09,0.11,0.07,0.1,0.06,0.09,0.11,0.06,0.13,0.08,0.07,0.12,0.06,0.09,0.1,0.09,0.08,0.1,0.05,0.07,0.12,0.12,0.09,0.07,0.11,0.08,0.08,0.07,0.15,0.1,0.11,0.1,0.11,0.08,0.07,0.16,0.11,0.14,0.09,0.18,0.12,0.06,0.16,0.06,0.06,0.11,0.08,0.1,0.08,0.07,0.13,0.07,0.12,0.06,0.1,0.08,0.14,0.09,0.13,0.09,0.12,0.06,0.09,0.11,0.16,0.11,0.11,0.08,0.08,0.09,0.07,0.11,0.06,0.06,0.1,0.07,0.08,0.09,0.08,0.12,0.12,0.07,0.07,0.09,0.07,0.12,0.09,0.13,0.07,0.1,0.11,0.12,0.11,0.1,0.1,0.08,0.14,0.12,0.15,0.13,0.1,0.1,0.12,0.12,0.06,0.13,0.07,0.13,0.07,0.05,0.08,0.11,0.15,0.11,0.15,0.08,0.07,0.1,0.09,0.14,0.09,0.08,0.09,0.08,0.08,0.09,0.07,0.13,0.07,0.07,0.06,0.1,0.1,0.11,0.06,0.07,0.11,0.1,0.1,0.11,0.09,0.09,0.17,0.08,0.07,0.08,0.12,0.1,0.09,0.13,0.07,0.13,0.13,0.08,0.07,0.09,0.11,0.07,0.09,0.06,0.08,0.06,0.08,0.1,0.09,0.07,0.1,0.07,0.06,0.07,0.09,0.05,0.12,0.08,0.08,0.08,0.08,0.07,0.08,0.14,0.07,0.07,0.12,0.08,0.11,0.06,0.07,0.12,0.12,0.07,0.1,0.08,0.05,0.06,0.07,0.13,0.08,0.15,0.12,0.14,0.09,0.08,0.1,0.07,0.08,0.08,0.09,0.07,0.06,0.06,0.14,0.06,0.15,0.08,0.08,0.12,0.11,0.11,0.11,0.12,0.12,0.14,0.07,0.06,0.12,0.12,0.09,0.13,0.1,0.08,0.08,0.09,0.11,0.09,0.08,0.11,0.09,0.1,0.08,0.11,0.08,0.08,0.09,0.07,0.09,0.07,0.12,0.13,0.07,0.1,0.06,0.09,0.06,0.11,0.13,0.07,0.06,0.08,0.07,0.11,0.08,0.07,0.09,0.16,0.13,0.13,0.09,0.09,0.1,0.1,0.06,0.13,0.09,0.1,0.19,0.09,0.08,0.07,0.1,0.1,0.08,0.11,0.11,0.08,0.11,0.11,0.06,0.07,0.14,0.12,0.12,0.08,0.08,0.13,0.07,0.08,0.08,0.1,0.08,0.13,0.05,0.07,0.07,0.09,0.09,0.15,0.08,0.07,0.08,0.09,0.08,0.12,0.09,0.12,0.07,0.09,0.13,0.14,0.09,0.07,0.07,0.1,0.15,0.07,0.03,0.09,0.11,0.07,0.06,0.13,0.09,0.07,0.12,0.11,0.1,0.08,0.12,0.07,0.12,0.1,0.09,0.08,0.13,0.1,0.17,0.11,0.06,0.07,0.12,0.1,0.15,0.12,0.06,0.16,0.13,0.11,0.11,0.1,0.09,0.09,0.07,0.1,0.1,0.08,0.08,0.11,0.07,0.07,0.09,0.07,0.07,0.1,0.09,0.07,0.15,0.07,0.14,0.08,0.07
0.1,0.11,0.12,0.12,0.05,0.11,0.11,0.1,0.1,0.08,0.09,0.09,0.08,0.13,0.12,0.12,0.13,0.12,0.11,0.09,0.09,0.12,0.13,0.1,0.12,0.09,0.09,0.09,0.1,0.09,0.1,0.1,0.08,0.11,0.09,0.09,0.13,0.13,0.11,0.08,0.05,0.08,0.09,0.09,0.09,0.13,0.13,0.11,0.08,0.09,0.07,0.07,0.11,0.11,0.08,0.07,0.09,0.1,0.15,0.07,0.12,0.08,0.12,0.1,0.08,0.09,0.1,0.08,0.11,0.12,0.06,0.08,0.09,0.08,0.1,0.08,0.07,0.1,0.1,0.11,0.11,0.14,0.08,0.09,0.08,0.07,0.09,0.08,0.1,0.08,0.08,0.09,0.12,0.09,0.09,0.06,0.08,0.07,0.08,0.06,0.13,0.09,0.07,0.09,0.06,0.11,0.09,0.09,0.11,0.1,0.06,0.08,0.11,0.12,0.06,0.12,0.11,0.09,0.08,0.08,0.1,0.08,0.1,0.07,0.1,0.1,0.1,0.11,0.1,0.11,0.11,0.1,0.1,0.11,0.1,0.13,0.08,0.1,0.12,0.06,0.11,0.05,0.12,0.09,0.13,0.1,0.14,0.1,0.07,0.1,0.08,0.11,0.14,0.1,0.07,0.11,0.09,0.07,0.11,0.09,0.09,0.11,0.12,0.07,0.08,0.07,0.09,0.12,0.09,0.12,0.07,0.1,0.08,0.09,0.07,0.09,0.07,0.1,0.1,0.07,0.14,0.09,0.12,0.11,0.09,0.08,0.12,0.07,0.06,0.1,0.11,0.07,0.14,0.1,0.12,0.09,0.11,0.09,0.15,0.09,0.08,0.1,0.06,0.09,0.11,0.14,0.08,0.11,0.09,0.09,0.09,0.1,0.11,0.11,0.09,0.09,0.1,0.11,0.08,0.1,0.11,0.1,0.07,0.09,0.09,0.12,0.09,0.1,0.08,0.05,0.08,0.07,0.12,0.06,0.14,0.09,0.06,0.11,0.1,0.07,0.11,0.09,0.07,0.12,0.12,0.09,0.07,0.07,0.08,0.11,0.07,0.11,0.11,0.12,0.11,0.09,0.11,0.1,0.1,0.09,0.12,0.11,0.1,0.09,0.12,0.09,0.11,0.1,0.08,0.1,0.09,0.09,0.11,0.12,0.05,0.06,0.07,0.1,0.14,0.07,0.09,0.08,0.11,0.1,0.1,0.08,0.08,0.12,0.08,0.1,0.11,0.1,0.08,0.08,0.11,0.08,0.09,0.09,0.12,0.1,0.08,0.08,0.12,0.1,0.1,0.12,0.1,0.1,0.12,0.05,0.12,0.09,0.08,0.07,0.08,0.07,0.08,0.11,0.09,0.08,0.13,0.08,0.1,0.08,0.09,0.07,0.07,0.09,0.09,0.08,0.1,0.13,0.1,0.13,0.09,0.09,0.2,0.09,0.09,0.08,0.1,0.09,0.11,0.05,0.09,0.11,0.07,0.09,0.09,0.1,0.09,0.1,0.07,0.1,0.08,0.06,0.07,0.09,0.1,0.14,0.05,0.09,0.1,0.06,0.09,0.08,0.09,0.1,0.1,0.13,0.12,0.09,0.09,0.08,0.07,0.15,0.12,0.1,0.1,0.09,0.09,0.08,0.15,0.1,0.11,0.11,0.07,0.15,0.11,0.1,0.11
0.07,0.07,0.04,0.07,0.03,0.05,0.06,0.05,0.03,0.03,0.06,0.06,0.08,0.05,0.05,0.06,0.05,0.07,0.07,0.04,0.06,0.03,0.04,0.04,0.03,0.05,0.07,0.06,0.07,0.06,0.09,0.04,0.05,0.06,0.05,0.04,0.06,0.04,0.03,0.05,0.06,0.04,0.06,0.06,0.07,0.05,0.05,0.04,0.05,0.04,0.06,0.05,0.04,0.04,0.07,0.05,0.04,0.07,0.06,0.06,0.05,0.07,0.05,0.07,0.06,0.05,0.07,0.06,0.07,0.06,0.07,0.06,0.06,0.05,0.05,0.05,0.06,0.04,0.06,0.04,0.07,0.05,0.04,0.06,0.03,0.05,0.06,0.08,0.07,0.04,0.04,0.05,0.07,0.05,0.07,0.05,0.06,0.05,0.06,0.05,0.04,0.06,0.05,0.07,0.05,0.04,0.08,0.05,0.05,0.05,0.05,0.05,0.06,0.04,0.05,0.05,0.05,0.06,0.05,0.05,0.06,0.07,0.05,0.06,0.04,0.05,0.04,0.05,0.07,0.05,0.04,0.05,0.06,0.04,0.06,0.03,0.07,0.06,0.04,0.04,0.04,0.03,0.04,0.07,0.04,0.06,0.04,0.04,0.07,0.06,0.08,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.08,0.07,0.06,0.07,0.06,0.05,0.04,0.04,0.05,0.04,0.07,0.04,0.1,0.04,0.07,0.04,0.06,0.06,0.06,0.05,0.05,0.06,0.04,0.03,0.04,0.03,0.07,0.04,0.06,0.04,0.05,0.07,0.06,0.05,0.05,0.04,0.06,0.04,0.06,0.07,0.05,0.09,0.04,0.04,0.06,0.04,0.06,0.03,0.06,0.06,0.06,0.05,0.04,0.07,0.04,0.04,0.06,0.08,0.03,0.04,0.04,0.05,0.04,0.03,0.06,0.04,0.06,0.04,0.06,0.06,0.05,0.05,0.06,0.06,0.04,0.04,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.03,0.06,0.06,0.03,0.04,0.04,0.07,0.07,0.06,0.04,0.06,0.04,0.07,0.06,0.05,0.07,0.04,0.05,0.08,0.04,0.06,0.05,0.08,0.04,0.06,0.04,0.04,0.04,0.07,0.06,0.04,0.07,0.05,0.06,0.04,0.05,0.05,0.07,0.07,0.08,0.06,0.05,0.06,0.08,0.06,0.03,0.07,0.06,0.04,0.06,0.06,0.06,0.03,0.07,0.06,0.06,0.05,0.08,0.06,0.05,0.05,0.06,0.03,0.06,0.06,0.04,0.05,0.03,0.05,0.07,0.05,0.06,0.06,0.05,0.04,0.08,0.06,0.05,0.06,0.05,0.05,0.05,0.04,0.05,0.03,0.03,0.04,0.05,0.06,0.05,0.02,0.04,0.06,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.07,0.06,0.04,0.05,0.07,0.06,0.06,0.07,0.08,0.04,0.05,0.07,0.05,0.05,0.06,0.06,0.04,0.07,0.04,0.05,0.04,0.05,0.06,0.06,0.04,0.07,0.06,0.05,0.07,0.0,0.05,0.04,0.04,0.05,0.06,0.04,0.06,0.04,0.05,0.08,0.05,0.04,0.05,0.06,0.06
0.06,0.05,0.07,0.05,0.06,0.08,0.05,0.08,0.06,0.07,0.06,0.06,0.05,0.06,0.09,0.07,0.06,0.05,0.06,0.07,0.07,0.08,0.07,0.07,0.05,0.06,0.05,0.1,0.06,0.06,0.04,0.06,0.06,0.05,0.06,0.07,0.06,0.08,0.08,0.07,0.05,0.05,0.06,0.07,0.07,0.06,0.06,0.06,0.1,0.08,0.05,0.05,0.06,0.06,0.06,0.08,0.07,0.06,0.05,0.07,0.06,0.06,0.05,0.06,0.07,0.06,0.06,0.07,0.04,0.06,0.05,0.05,0.08,0.04,0.06,0.05,0.07,0.07,0.06,0.07,0.05,0.06,0.06,0.06,0.03,0.05,0.06,0.05,0.07,0.08,0.07,0.08,0.06,0.06,0.05,0.05,0.05,0.08,0.07,0.04,0.09,0.08,0.07,0.06,0.05,0.12,0.07,0.05,0.07,0.06,0.06,0.05,0.05,0.07,0.06,0.06,0.07,0.06,0.04,0.04,0.07,0.05,0.06,0.05,0.06,0.06,0.06,0.08,0.05,0.06,0.05,0.05,0.05,0.08,0.06,0.06,0.07,0.08,0.07,0.06,0.08,0.05,0.07,0.07,0.05,0.09,0.04,0.07,0.07,0.05,0.06,0.07,0.06,0.07,0.06,0.07,0.05,0.07,0.06,0.07,0.05,0.07,0.06,0.07,0.05,0.06,0.09,0.06,0.06,0.05,0.07,0.07,0.08,0.06,0.07,0.1,0.04,0.05,0.07,0.06,0.05,0.06,0.08,0.08,0.08,0.08,0.06,0.08,0.07,0.07,0.07,0.07,0.09,0.09,0.07,0.07,0.08,0.06,0.15,0.05,0.07,0.06,0.06,0.08,0.05,0.06,0.06,0.07,0.05,0.06,0.05,0.06,0.08,0.06,0.07,0.07,0.06,0.06,0.05,0.08,0.04,0.06,0.05,0.06,0.07,0.08,0.05,0.05,0.05,0.06,0.05,0.06,0.06,0.06,0.06,0.08,0.04,0.08,0.08,0.06,0.06,0.05,0.06,0.06,0.07,0.05,0.06,0.07,0.06,0.05,0.06,0.05,0.04,0.07,0.05,0.05,0.07,0.06,0.07,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.05,0.06,0.07,0.06,0.08,0.08,0.07,0.05,0.06,0.08,0.05,0.07,0.06,0.05,0.07,0.08,0.04,0.05,0.04,0.05,0.07,0.05,0.05,0.07,0.06,0.04,0.06,0.06,0.06,0.08,0.06,0.09,0.04,0.06,0.07,0.07,0.07,0.07,0.07,0.05,0.04,0.06,0.06,0.06,0.08,0.01,0.05,0.04,0.05,0.06,0.08,0.07,0.07,0.08,0.08,0.06,0.06,0.1,0.06,0.05,0.06,0.06,0.07,0.06,0.07,0.1,0.06,0.06,0.08,0.05,0.05,0.08,0.04,0.07,0.08,0.07,0.07,0.07,0.05,0.05,0.07,0.05,0.07,0.05,0.07,0.06,0.04,0.06,0.05,0.06,0.06,0.04,0.05,0.06,0.06,0.06,0.06,0.07,0.05,0.03,0.06,0.06,0.07,0.06,0.08,0.08,0.06,0.06,0.0,0.06,0.07,0.06,0.08,0.07,0.07,0.05,0.05,0.06,0.05,0.06,0.06,0.04,0.05,0.06
