1,2,6,7,9,10,11,12,13,14,15,16,17,18,20,24,25,26,29,30,31,32,37,38,43,46,48,49,50,53,54,55,57,60,62,63,64,65,68,69,72,78,80,81,83,85,88,89,91,92,95,96,99,103,104,106,107,111,112,113,114,115,118,119,120,121,122,125,127,129,130,131,132,133,134,135,136,139,140,142,143,144,145,147,148,149,150,151,152,153,154,155,157,158,162,163,164,167,168,170,171,172,174,176,183,187,188,193,194,199,202,204,205,206,207,208,209,210,211,214,216,222,223,225,227,228,229,231,232,233,239,242,246,248,250,253,254,256,262,268,270,272,273,276,277,279,282,283,286,288,289,290,292,293,297,299,301,304,307,308,309,312,313,316,320,323,326,327,328,329,330,333,335,336,337,338,339,345,350,351,354,355,356,357,358,359,362,370,372,373,374,375,377,379,382,383,386,387,389,390,391,392,394,395,397,398,399,400,402,403,404,405,406,407,409,410,411,413,416,417,423,425,426,428,431,434,435,438,439,442,446,449,450,451,453,456,457,460,462,463,464,465,467,468,469,470,471,472,473,474,475,476,477,478,479,481,482,483,484,485,486,487,488,490,492,493,494,495,496,498
0.24,0.22,0.2,0.23,0.19,0.24,0.25,0.24,0.2,0.26,0.23,0.24,0.21,0.24,0.31,0.27,0.25,0.25,0.21,0.24,0.21,0.24,0.21,0.26,0.27,0.2,0.27,0.26,0.24,0.26,0.27,0.2,0.25,0.23,0.24,0.24,0.24,0.21,0.26,0.26,0.25,0.23,0.22,0.23,0.24,0.3,0.25,0.26,0.26,0.23,0.21,0.25,0.23,0.22,0.22,0.24,0.22,0.25,0.26,0.23,0.25,0.26,0.21,0.22,0.21,0.21,0.23,0.24,0.31,0.26,0.29,0.2,0.22,0.25,0.21,0.24,0.24,0.27,0.29,0.2,0.23,0.21,0.21,0.28,0.31,0.26,0.37,0.23,0.19,0.23,0.27,0.22,0.21,0.26,0.23,0.24,0.22,0.25,0.25,0.25,0.27,0.25,0.23,0.23,0.24,0.27,0.27,0.25,0.29,0.27,0.21,0.24,0.25,0.25,0.26,0.24,0.23,0.26,0.24,0.24,0.25,0.27,0.24,0.28,0.16,0.2,0.27,0.21,0.25,0.25,0.22,0.2,0.29,0.22,0.22,0.22,0.22,0.21,0.25,0.29,0.22,0.24,0.23,0.28,0.28,0.21,0.19,0.24,0.25,0.19,0.23,0.22,0.2,0.27,0.27,0.2,0.23,0.24,0.24,0.27,0.22,0.19,0.21,0.22,0.25,0.24,0.22,0.32,0.22,0.21,0.26,0.27,0.26,0.23,0.24,0.23,0.24,0.23,0.29,0.28,0.23,0.24,0.2,0.24,0.19,0.22,0.24,0.23,0.26,0.21,0.22,0.21,0.2,0.22,0.28,0.18,0.27,0.23,0.25,0.19,0.2,0.25,0.23,0.24,0.22,0.23,0.21,0.24,0.26,0.21,0.25,0.29,0.24,0.25,0.24,0.23,0.25,0.24,0.23,0.22,0.23,0.23,0.27,0.2,0.27,0.23,0.2,0.21,0.23,0.21,0.21,0.23,0.22,0.23,0.25,0.26,0.22,0.22,0.2,0.21,0.22,0.27,0.29,0.22,0.21,0.28,0.24,0.28,0.26,0.22,0.26,0.21,0.25,0.24,0.23,0.24,0.26,0.26,0.2,0.27,0.25,0.2,0.2,0.2,0.22,0.29,0.24,0.24,0.3,0.3
0.3,0.33,0.31,0.29,0.31,0.3,0.27,0.31,0.34,0.28,0.32,0.25,0.32,0.33,0.31,0.29,0.32,0.3,0.3,0.3,0.3,0.3,0.35,0.3,0.3,0.33,0.3,0.28,0.29,0.31,0.32,0.33,0.31,0.27,0.27,0.27,0.31,0.33,0.29,0.3,0.3,0.33,0.33,0.29,0.3,0.3,0.31,0.32,0.28,0.3,0.27,0.29,0.29,0.31,0.32,0.32,0.29,0.3,0.27,0.26,0.3,0.31,0.31,0.29,0.3,0.29,0.29,0.29,0.28,0.25,0.3,0.3,0.27,0.29,0.31,0.36,0.31,0.26,0.32,0.3,0.3,0.29,0.27,0.32,0.28,0.31,0.26,0.29,0.27,0.26,0.31,0.34,0.29,0.29,0.27,0.29,0.29,0.3,0.26,0.27,0.29,0.29,0.3,0.31,0.29,0.31,0.3,0.27,0.3,0.33,0.31,0.3,0.32,0.27,0.29,0.35,0.34,0.25,0.34,0.29,0.26,0.24,0.32,0.33,0.36,0.29,0.33,0.3,0.25,0.29,0.31,0.29,0.31,0.29,0.31,0.27,0.35,0.3,0.26,0.3,0.26,0.3,0.32,0.29,0.29,0.29,0.37,0.28,0.26,0.33,0.27,0.31,0.32,0.33,0.28,0.29,0.27,0.27,0.3,0.31,0.3,0.36,0.28,0.29,0.27,0.32,0.29,0.3,0.3,0.31,0.28,0.32,0.34,0.32,0.3,0.23,0.31,0.34,0.25,0.33,0.26,0.3,0.28,0.31,0.31,0.33,0.3,0.29,0.3,0.29,0.27,0.32,0.29,0.33,0.32,0.29,0.29,0.26,0.3,0.36,0.28,0.3,0.32,0.3,0.28,0.3,0.29,0.29,0.33,0.26,0.3,0.29,0.3,0.3,0.33,0.3,0.29,0.3,0.29,0.28,0.33,0.3,0.34,0.36,0.3,0.34,0.27,0.3,0.29,0.29,0.3,0.32,0.26,0.33,0.3,0.32,0.3,0.26,0.26,0.27,0.32,0.29,0.28,0.26,0.31,0.28,0.27,0.31,0.32,0.27,0.28,0.29,0.28,0.29,0.27,0.27,0.31,0.28,0.32,0.3,0.3,0.33,0.32,0.3,0.32,0.32,0.32,0.29,0.28,0.28
0.13,0.12,0.13,0.1,0.16,0.12,0.13,0.15,0.13,0.14,0.13,0.1,0.13,0.13,0.13,0.17,0.14,0.12,0.12,0.14,0.14,0.14,0.1,0.13,0.13,0.12,0.12,0.11,0.11,0.15,0.11,0.12,0.13,0.12,0.15,0.15,0.14,0.13,0.1,0.13,0.12,0.11,0.12,0.12,0.14,0.12,0.13,0.12,0.11,0.11,0.14,0.12,0.11,0.12,0.14,0.13,0.11,0.12,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.11,0.13,0.14,0.16,0.23,0.13,0.13,0.12,0.12,0.11,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.14,0.28,0.14,0.14,0.14,0.13,0.14,0.12,0.12,0.13,0.11,0.15,0.13,0.14,0.14,0.11,0.14,0.12,0.15,0.11,0.1,0.11,0.12,0.1,0.11,0.14,0.13,0.13,0.12,0.11,0.11,0.15,0.14,0.12,0.14,0.14,0.13,0.13,0.12,0.15,0.13,0.11,0.15,0.13,0.11,0.12,0.14,0.14,0.14,0.15,0.13,0.12,0.12,0.12,0.13,0.13,0.13,0.14,0.11,0.12,0.1,0.12,0.13,0.11,0.13,0.12,0.11,0.13,0.13,0.12,0.14,0.11,0.13,0.13,0.1,0.14,0.13,0.12,0.14,0.13,0.12,0.13,0.12,0.12,0.13,0.13,0.1,0.1,0.13,0.12,0.14,0.11,0.12,0.12,0.12,0.12,0.14,0.14,0.15,0.16,0.11,0.11,0.14,0.14,0.13,0.15,0.13,0.11,0.12,0.11,0.14,0.12,0.11,0.12,0.11,0.13,0.14,0.13,0.13,0.13,0.13,0.1,0.13,0.14,0.13,0.11,0.1,0.13,0.12,0.12,0.12,0.11,0.14,0.1,0.13,0.14,0.15,0.14,0.15,0.11,0.13,0.15,0.13,0.14,0.14,0.15,0.13,0.15,0.11,0.12,0.14,0.13,0.13,0.13,0.12,0.14,0.13,0.12,0.12,0.15,0.12,0.09,0.11,0.12,0.14,0.1,0.14,0.12,0.12,0.13,0.12,0.12,0.11,0.13,0.12,0.12,0.12,0.14,0.14,0.12,0.11,0.12,0.14,0.1,0.13
0.2,0.2,0.23,0.23,0.21,0.18,0.21,0.2,0.17,0.22,0.22,0.29,0.19,0.18,0.14,0.16,0.18,0.21,0.22,0.23,0.24,0.17,0.22,0.21,0.18,0.19,0.21,0.23,0.22,0.18,0.19,0.19,0.2,0.28,0.19,0.25,0.22,0.22,0.2,0.21,0.19,0.19,0.19,0.21,0.19,0.18,0.19,0.17,0.2,0.24,0.22,0.24,0.26,0.2,0.22,0.17,0.26,0.24,0.22,0.28,0.21,0.19,0.21,0.22,0.23,0.19,0.2,0.19,0.21,0.2,0.17,0.26,0.13,0.19,0.24,0.16,0.22,0.2,0.17,0.22,0.19,0.25,0.25,0.15,0.2,0.19,0.07,0.2,0.28,0.25,0.17,0.18,0.23,0.17,0.26,0.25,0.19,0.22,0.19,0.22,0.22,0.2,0.24,0.18,0.24,0.23,0.19,0.26,0.21,0.19,0.19,0.17,0.18,0.2,0.24,0.19,0.18,0.2,0.17,0.18,0.23,0.26,0.2,0.17,0.22,0.27,0.18,0.24,0.22,0.21,0.24,0.27,0.17,0.19,0.19,0.27,0.16,0.22,0.23,0.16,0.31,0.19,0.19,0.19,0.18,0.17,0.19,0.24,0.25,0.21,0.28,0.22,0.21,0.16,0.23,0.23,0.28,0.23,0.19,0.19,0.24,0.19,0.27,0.22,0.24,0.2,0.21,0.16,0.22,0.22,0.24,0.16,0.18,0.19,0.2,0.3,0.24,0.2,0.24,0.17,0.28,0.22,0.27,0.18,0.22,0.2,0.26,0.21,0.2,0.22,0.25,0.19,0.28,0.2,0.16,0.23,0.21,0.25,0.2,0.2,0.23,0.19,0.19,0.2,0.21,0.22,0.28,0.19,0.16,0.26,0.23,0.2,0.22,0.21,0.22,0.2,0.24,0.22,0.2,0.28,0.17,0.21,0.16,0.18,0.19,0.17,0.22,0.22,0.18,0.2,0.2,0.19,0.25,0.19,0.21,0.17,0.22,0.3,0.31,0.23,0.19,0.19,0.19,0.29,0.2,0.21,0.27,0.18,0.19,0.2,0.2,0.22,0.23,0.24,0.23,0.27,0.18,0.25,0.2,0.21,0.19,0.23,0.21,0.22,0.21,0.16,0.22,0.21,0.19,0.18
0.08,0.08,0.06,0.08,0.06,0.1,0.07,0.06,0.08,0.05,0.05,0.06,0.09,0.07,0.06,0.07,0.06,0.07,0.08,0.04,0.06,0.07,0.08,0.05,0.06,0.08,0.05,0.07,0.08,0.05,0.05,0.09,0.07,0.05,0.09,0.05,0.05,0.07,0.08,0.07,0.07,0.09,0.08,0.09,0.08,0.05,0.07,0.08,0.09,0.08,0.09,0.06,0.06,0.09,0.06,0.07,0.06,0.04,0.07,0.05,0.06,0.06,0.07,0.07,0.07,0.1,0.08,0.09,0.05,0.1,0.06,0.04,0.1,0.08,0.06,0.07,0.06,0.08,0.05,0.09,0.07,0.07,0.07,0.08,0.05,0.06,0.01,0.08,0.06,0.05,0.06,0.07,0.07,0.09,0.06,0.06,0.11,0.06,0.09,0.07,0.06,0.07,0.05,0.07,0.07,0.04,0.08,0.05,0.05,0.06,0.07,0.08,0.06,0.09,0.05,0.06,0.05,0.08,0.08,0.09,0.05,0.05,0.05,0.05,0.06,0.06,0.05,0.05,0.09,0.08,0.06,0.04,0.07,0.08,0.05,0.06,0.08,0.09,0.09,0.06,0.04,0.09,0.06,0.06,0.07,0.15,0.08,0.06,0.07,0.06,0.06,0.07,0.07,0.05,0.05,0.09,0.05,0.06,0.08,0.08,0.05,0.07,0.06,0.07,0.06,0.06,0.1,0.06,0.09,0.07,0.04,0.09,0.06,0.08,0.07,0.06,0.04,0.05,0.07,0.05,0.08,0.05,0.06,0.05,0.07,0.09,0.04,0.07,0.06,0.09,0.06,0.09,0.07,0.08,0.07,0.08,0.06,0.08,0.09,0.07,0.1,0.07,0.07,0.09,0.1,0.06,0.07,0.1,0.05,0.08,0.06,0.06,0.07,0.07,0.05,0.09,0.07,0.06,0.11,0.04,0.08,0.06,0.06,0.07,0.07,0.09,0.08,0.08,0.09,0.1,0.08,0.09,0.05,0.06,0.07,0.06,0.06,0.05,0.05,0.1,0.08,0.07,0.07,0.06,0.06,0.07,0.08,0.07,0.07,0.11,0.08,0.08,0.07,0.06,0.08,0.05,0.07,0.06,0.08,0.05,0.06,0.06,0.06,0.07,0.07,0.05,0.05,0.06,0.06,0.07
0.06,0.05,0.07,0.07,0.07,0.06,0.07,0.05,0.08,0.05,0.05,0.06,0.06,0.06,0.05,0.04,0.04,0.05,0.08,0.05,0.05,0.07,0.05,0.05,0.05,0.07,0.05,0.06,0.06,0.04,0.06,0.07,0.05,0.05,0.06,0.05,0.05,0.05,0.07,0.03,0.07,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.07,0.04,0.07,0.05,0.05,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.08,0.07,0.05,0.04,0.06,0.05,0.04,0.04,0.06,0.05,0.05,0.05,0.09,0.05,0.07,0.09,0.06,0.06,0.05,0.05,0.04,0.01,0.06,0.05,0.06,0.06,0.04,0.07,0.06,0.05,0.05,0.04,0.05,0.07,0.05,0.05,0.06,0.05,0.07,0.06,0.05,0.04,0.05,0.05,0.04,0.08,0.07,0.06,0.07,0.05,0.05,0.07,0.07,0.05,0.06,0.07,0.05,0.06,0.05,0.05,0.05,0.06,0.05,0.05,0.06,0.05,0.05,0.04,0.08,0.07,0.05,0.07,0.07,0.07,0.06,0.04,0.05,0.06,0.06,0.06,0.07,0.06,0.05,0.07,0.08,0.04,0.07,0.07,0.06,0.05,0.05,0.05,0.07,0.07,0.05,0.05,0.07,0.05,0.06,0.05,0.05,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.07,0.04,0.05,0.06,0.04,0.04,0.04,0.05,0.05,0.07,0.05,0.05,0.04,0.07,0.06,0.06,0.05,0.06,0.05,0.05,0.06,0.09,0.05,0.08,0.05,0.07,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.06,0.06,0.06,0.04,0.05,0.04,0.07,0.04,0.04,0.07,0.05,0.06,0.04,0.05,0.05,0.07,0.06,0.08,0.06,0.07,0.06,0.06,0.05,0.07,0.08,0.04,0.04,0.07,0.04,0.05,0.06,0.04,0.05,0.05,0.05,0.07,0.05,0.05,0.06,0.05,0.06,0.07,0.06,0.06,0.05,0.06,0.05,0.05,0.05,0.07,0.05,0.07,0.06,0.07,0.07,0.05,0.05,0.06,0.06,0.07,0.05
