X,Y,OC_USA_EBK,GH_USA_EBK,SALT_USA_EBK,MSLP_USA_EBK,SP_USA_EBK,SST_USA_EBK,VLM_shcua_EBK,SLR_predicted,mm/year
-124.2462089,40.74055979,0.0373677,4809528832,0.0343033,102082.375,99222.23438,285.8755188,1.8365244,8.826420248950644,4.2030572614050685
-124.2462089,40.80055979,0.0374927,4797793792,0.0343033,102082.3828,99194.54688,285.8931274,1.8365244,8.826420248950644,4.2030572614050685
-124.217,40.7667,0.0374927,4797793792,0.0343033,102082.3828,99194.54688,285.8931274,1.8365244,8.826420248950644,4.2030572614050685
-124.1862089,40.74055979,0.0373677,4809528832,0.0343033,102082.375,99222.23438,285.8755188,1.8365244,8.826420248950644,4.2030572614050685
-124.1862089,40.80055979,0.0374927,4797793792,0.0343033,102082.3828,99194.54688,285.8931274,1.8365244,8.826420248950644,4.2030572614050685
-124.1862089,41.70055979,0.0345458,4614283264,0.0342133,102079.0313,99636.11719,286.0440063,0.1444888,4.836155753968254,2.302931311413454
-124.1862089,41.76055979,0.0331798,4609986048,0.0342,102081.3828,99824.95313,286.0944824,0.1551739,4.836155753968254,2.302931311413454
-124.183,41.745,0.0345458,4614283264,0.0342,102079.0313,99636.11719,286.0440063,0.1551739,4.836155753968254,2.302931311413454
-124.1262089,46.92055979,0.038688,4018784000,0.034138,101995.0547,101589.4297,287.3608093,-0.9440281,2.771428571428572,1.3197278911564625
-124.10508,46.90431,0.038688,4018784000,0.0341374,101995.0547,101589.4297,287.3608093,-0.9440281,2.771428571428572,1.3197278911564625
-124.0662089,44.64055979,0.0256573,3937531648,0.0340324,102065.5547,100837.9219,286.6321716,-0.8759611,4.0285714285714285,1.9183673469387754
-124.043,44.625,0.0255266,3908680960,0.0340149,102067.7969,100380.7734,286.4957275,-0.9867509,4.235714285714286,2.0170068027210886
-123.96692,46.70747,0.0365147,3990014464,0.0341225,102000.4375,101369.9609,287.5883179,-0.8651105,0.8357142857142857,0.39795918367346933
-123.9462089,45.54055979,0.0295425,3163099648,0.0340549,102039.0313,99768.03125,287.9824219,-0.4563956,3.0428571428571427,1.4489795918367345
-123.9462089,46.68055979,0.0371187,3953660416,0.0341107,102000.1406,101050.3828,287.5539246,-0.8651105,0.8428571428571429,0.4013605442176871
-123.9462089,46.74055979,0.0371187,3953660416,0.0341119,102000.1406,101050.3828,287.5539246,-0.8817416,1.35,0.6428571428571428
-123.91894,45.55453,0.0298345,3217509120,0.0340549,102037.4453,99697.17188,287.9530029,-0.4563956,3.25,1.5476190476190474
-123.8862089,45.54055979,0.0295425,3163099648,0.0340549,102039.0313,99768.03125,287.9824219,-0.4563956,3.142857142857143,1.4965986394557822
-123.76831,46.20731,0.0331694,3539600384,0.0340839,102020.6484,100671.5156,287.8446655,-0.7851332,0.1357142857142857,0.06462585034013582
-123.7662089,46.20055979,0.0331694,3539600384,0.0340839,102020.6484,100671.5156,287.8446655,-0.7061397,0.1571428571428571,0.07482993197278912
-123.708,38.9133,0.0126933,5015517696,0.0344917,102039.8672,100432.4688,286.0652771,1.2433462,4.4071428571428575,2.098639455782313
-123.7062089,38.88055979,0.0126933,5015517696,0.0344917,102039.8672,100432.4688,286.0652771,1.2433462,4.4071428571428575,2.098639455782313
-123.7062089,38.94055979,0.0126933,5015517696,0.0344855,102039.8672,100432.4688,286.0652771,1.151346,4.4071428571428575,2.098639455782313
-123.7062089,46.20055979,0.033719,3505231104,0.0340704,102022.1797,100317.1641,287.7790222,-0.7061397,0.1714285714285714,0.08163265306122447
-123.4662089,46.26055979,0.0348936,3514800640,0.0340474,102020.0,99759.16406,287.6497803,-0.8036425,0.1428571428571428,0.06802721088435373
-123.4662089,48.12055979,0.0527058,4162525952,0.0341393,101947.5234,98164.33594,284.098938,-0.7951571,1.7714285714285714,0.8435374149659861
-123.452,46.2667,0.0348936,3514800640,0.0340474,102020.0,99759.16406,287.6497803,-0.8036425,0.1428571428571428,0.06802721088435373
-123.44,48.125,0.0528123,4163492864,0.0341339,101944.8359,98028.20313,284.2106323,-0.7951571,1.7285714285714286,0.8231292517006802
-123.4062089,46.14055979,0.0339234,3352653312,0.0340318,102028.0078,99280.25,287.6668091,-0.8278823,0.15,0.07142857142857142
-123.4062089,46.20055979,0.0345847,3440048896,0.0340318,102025.2734,99500.65625,287.6501465,-0.8278823,0.1214285714285714,0.05782312925170067
-123.4062089,46.26055979,0.0353119,3487564288,0.034035,102021.2109,99605.75781,287.6625061,-0.8036425,0.1571428571428571,0.07482993197278912
-123.4062089,48.12055979,0.0528123,4163492864,0.0341339,101944.8359,98028.20313,284.2106323,-0.7951571,1.7714285714285714,0.8435374149659861
-123.405,46.16,0.0345847,3440048896,0.0340318,102025.2734,99500.65625,287.6501465,-0.8278823,0.1214285714285714,0.05782312925170067
