0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.18,0.2,0.2,0.22,0.15,0.28,0.19,0.32,0.01,0.12,0.18,0.21,0.21,0.22,0.21,0.21,0.22,0.23,0.15,0.26,0.14,0.21,0.26,0.21,0.28,0.33,0.46,0.37,0.16,0.31,0.35,0.2,0.32,0.06,0.23,0.22,0.33,0.29,0.22,0.19,0.26,0.25,0.29,0.15,0.22,0.33,0.29,0.19,0.15,0.19,0.26,0.29,0.26,0.03,0.3,0.2,0.22,0.25,0.22,0.14,0.21,0.23,0.28,0.16,0.17,0.15,0.17,0.26,0.08,0.27,0.07,0.28,0.2,0.18,0.36,0.23,0.2,0.08,0.21,0.23,0.29,0.18,0.22,0.25,0.35,0.18,0.22,0.26,0.21,0.16,0.35,0.08,0.16,0.59,0.29,0.15,0.2,0.22,0.3,0.35
0.29,0.27,0.24,0.19,0.31,0.23,0.26,0.14,0.26,0.32,0.22,0.23,0.22,0.25,0.22,0.21,0.26,0.25,0.28,0.18,0.3,0.24,0.2,0.23,0.23,0.16,0.12,0.13,0.27,0.22,0.1,0.29,0.09,0.28,0.2,0.24,0.18,0.13,0.23,0.26,0.23,0.25,0.19,0.3,0.19,0.08,0.17,0.24,0.3,0.26,0.21,0.13,0.22,0.3,0.33,0.24,0.15,0.2,0.25,0.3,0.29,0.26,0.15,0.33,0.3,0.32,0.24,0.21,0.33,0.08,0.3,0.19,0.21,0.27,0.02,0.24,0.23,0.32,0.29,0.22,0.22,0.24,0.24,0.27,0.02,0.28,0.2,0.24,0.23,0.31,0.11,0.26,0.3,0.03,0.17,0.3,0.17,0.25,0.15,0.02
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
0.09,0.08,0.09,0.12,0.08,0.07,0.08,0.07,0.15,0.06,0.05,0.06,0.08,0.07,0.13,0.09,0.1,0.06,0.06,0.09,0.05,0.09,0.09,0.09,0.08,0.04,0.04,0.04,0.1,0.05,0.07,0.08,0.07,0.15,0.08,0.08,0.06,0.11,0.09,0.08,0.05,0.08,0.05,0.06,0.11,0.07,0.07,0.11,0.07,0.09,0.08,0.09,0.05,0.16,0.04,0.07,0.07,0.09,0.13,0.08,0.09,0.1,0.08,0.09,0.07,0.07,0.11,0.07,0.13,0.13,0.14,0.08,0.11,0.08,0.09,0.1,0.1,0.13,0.05,0.07,0.06,0.05,0.08,0.07,0.07,0.07,0.1,0.07,0.08,0.07,0.06,0.14,0.08,0.02,0.08,0.08,0.11,0.04,0.08,0.1
0.03,0.04,0.05,0.06,0.09,0.05,0.04,0.06,0.06,0.1,0.05,0.08,0.05,0.06,0.03,0.07,0.07,0.06,0.06,0.06,0.09,0.02,0.05,0.04,0.06,0.06,0.04,0.06,0.05,0.05,0.05,0.06,0.05,0.09,0.07,0.06,0.03,0.03,0.03,0.05,0.06,0.04,0.04,0.06,0.07,0.06,0.04,0.05,0.09,0.05,0.04,0.06,0.05,0.07,0.02,0.04,0.06,0.06,0.06,0.07,0.05,0.09,0.03,0.07,0.06,0.09,0.04,0.03,0.11,0.07,0.1,0.06,0.06,0.04,0.02,0.05,0.05,0.07,0.04,0.04,0.05,0.04,0.07,0.04,0.01,0.06,0.04,0.05,0.01,0.09,0.04,0.07,0.09,0.02,0.04,0.05,0.05,0.06,0.06,0.04
0.05,0.08,0.05,0.06,0.01,0.04,0.04,0.05,0.16,0.01,0.05,0.09,0.06,0.05,0.06,0.03,0.04,0.06,0.0,0.05,0.01,0.03,0.06,0.07,0.08,0.11,0.18,0.08,0.08,0.04,0.01,0.06,0.0,0.05,0.06,0.05,0.13,0.06,0.07,0.07,0.07,0.06,0.07,0.0,0.05,0.01,0.05,0.01,0.0,0.01,0.07,0.08,0.07,0.11,0.16,0.03,0.06,0.1,0.06,0.0,0.08,0.05,0.07,0.01,0.01,0.0,0.08,0.05,0.07,0.06,0.06,0.07,0.06,0.01,0.01,0.06,0.05,0.09,0.09,0.06,0.09,0.05,0.09,0.12,0.02,0.01,0.05,0.04,0.01,0.0,0.06,0.07,0.0,0.07,0.07,0.0,0.06,0.06,0.05,0.01
0.07,0.09,0.07,0.11,0.0,0.04,0.06,0.05,0.23,0.0,0.04,0.05,0.04,0.04,0.09,0.08,0.05,0.05,0.07,0.08,0.02,0.06,0.05,0.08,0.07,0.05,0.02,0.05,0.13,0.03,0.04,0.08,0.04,0.22,0.07,0.06,0.06,0.07,0.05,0.07,0.05,0.07,0.04,0.04,0.06,0.05,0.05,0.0,0.0,0.0,0.09,0.07,0.05,0.19,0.02,0.07,0.05,0.08,0.07,0.05,0.1,0.05,0.07,0.0,0.05,0.0,0.08,0.04,0.17,0.09,0.2,0.06,0.09,0.0,0.05,0.08,0.11,0.22,0.06,0.06,0.06,0.06,0.07,0.07,0.05,0.0,0.08,0.06,0.04,0.0,0.06,0.23,0.0,0.04,0.05,0.06,0.09,0.03,0.06,0.01
0.06,0.04,0.04,0.05,0.07,0.05,0.05,0.06,0.09,0.08,0.07,0.03,0.05,0.06,0.05,0.07,0.04,0.06,0.08,0.04,0.07,0.04,0.04,0.04,0.04,0.03,0.02,0.04,0.06,0.07,0.07,0.05,0.08,0.07,0.05,0.03,0.03,0.03,0.03,0.04,0.05,0.04,0.04,0.08,0.05,0.07,0.03,0.01,0.06,0.01,0.04,0.05,0.05,0.05,0.02,0.05,0.14,0.05,0.04,0.09,0.04,0.03,0.05,0.04,0.07,0.06,0.06,0.06,0.05,0.05,0.08,0.04,0.06,0.01,0.02,0.05,0.05,0.05,0.02,0.06,0.03,0.04,0.08,0.02,0.01,0.01,0.06,0.05,0.01,0.07,0.06,0.07,0.06,0.03,0.03,0.06,0.05,0.06,0.06,0.02
0.22,0.2,0.26,0.19,0.29,0.22,0.26,0.25,0.04,0.29,0.32,0.24,0.27,0.24,0.2,0.23,0.2,0.22,0.29,0.23,0.32,0.31,0.25,0.22,0.16,0.2,0.11,0.22,0.13,0.22,0.3,0.16,0.32,0.06,0.22,0.24,0.17,0.27,0.26,0.22,0.22,0.2,0.27,0.3,0.24,0.33,0.3,0.39,0.31,0.39,0.21,0.22,0.23,0.09,0.11,0.29,0.25,0.17,0.16,0.26,0.13,0.18,0.26,0.3,0.27,0.3,0.21,0.27,0.05,0.24,0.04,0.2,0.21,0.4,0.42,0.17,0.2,0.04,0.22,0.26,0.18,0.32,0.15,0.14,0.46,0.38,0.22,0.22,0.4,0.29,0.26,0.06,0.29,0.17,0.26,0.29,0.25,0.27,0.23,0.45
