X,Y,SLR,TR,Slope,Elevation,HTF_predicted
-97.63888937,27.25773194,1.6666666666666663,0.0,0.2804493,-2,0.6209372751466663
-97.56587116,27.31670067,1.6666666666666663,0.0,0.3824542,-1,0.6270750655999997
-97.54125458,27.23300458,1.6380952380952385,0.0,0.2855333,-1,0.6328191062399997
-97.53698075,27.28947727,1.6380952380952385,0.0,0.3349954,-1,0.6357091671999997
-97.48932461,27.37106728,1.5904761904761906,0.0,0.3729312,-3,0.7262431225666669
-97.43258852,27.2688886,1.6857142857142855,0.0,0.1332098,-1,0.6385094684266663
-97.42189352,26.55633833,1.5952380952380951,0.0,0.4837662,-3,0.6861909973933336
-97.40832061,27.32189539,1.657142857142857,0.0,0.1469066,0,0.6353385287466663
-97.39328006,27.29395389,1.6857142857142855,0.0,0.0,1,0.6258993198399997
-97.37782444,27.85815809,1.676190476190476,0.21479,0.1179327,-3,0.516651771440812
-97.37040721,27.0571548,1.6857142857142855,0.5041,0.3112485,-7,0.4404564376883075
-97.36671528,27.76071598,1.6,0.18923,0.0979378,-4,0.5163592059906216
-97.3587426,26.89082445,1.6380952380952385,0.5026,0.2946262,-5,0.43817912712860363
-97.35073645,27.20130063,1.7142857142857142,0.5046,0.3462586,-9,0.432017476566243
-97.32374875,26.74359608,1.7047619047619047,0.5001,0.4252052,-7,0.4179405902368249
-97.30864728,27.36945178,1.7476190476190476,0.5038,0.3342789,-5,0.4257122601973943
-97.28987694,27.71319153,1.7285714285714284,0.18727,0.0619414,-4,0.43097991627387017
-97.28560083,26.60655162,1.7285714285714284,0.4964,0.2880417,-3,0.40284600663171344
-97.28097459,27.85388309,2.0285714285714285,0.1911,0.0,-4,0.4126094242113968
-97.2475206,27.63515425,1.7428571428571429,0.09366,0.4183836,-5,0.4378923414971947
-97.22970962,26.4709389,1.6714285714285713,0.49551,0.3462586,-7,0.3952388699868249
-97.22091603,27.56135637,1.7285714285714284,0.49876,0.2646118,-6,0.4076224492529093
-97.21537126,26.06147023,1.9,0.41386,0.1332098,5,0.4138936701435316
-97.19877071,26.35005587,1.6714285714285713,0.4958,0.3042359,-5,0.40013626840949146
-97.19302845,27.80647854,1.7285714285714284,0.17576,0.4428829,-6,0.4445223545687846
-97.17734845,26.25359238,1.6952380952380952,0.49606,0.3767693,-7,0.38603402202082493
-97.16617072,26.16698696,1.7904761904761903,0.4974,0.3716431,-5,0.3824738400153097
-97.15540792,26.06754396,1.838095238095238,0.46048,0.9627443,-17,0.3843759880937542
-97.14622,25.958594,1.9,0.4925,0.4998547,5,0.41267166126530963
-97.13249719,27.71401109,1.7285714285714284,0.5012,0.2708809,-5,0.39728630883957605
-97.06560094,27.84141992,1.952380952380952,0.32894,1.4556386,-14,0.4061063752109071
-97.0235728,27.83255668,2.076190476190476,0.50878,0.0902942,-11,0.37045963415453964
-96.92188606,27.9822494,2.538095238095238,0.50749,0.2708809,-7,0.37580772054209505
-96.83456807,28.41372501,4.309523809523809,0.1244,0.0,-1,0.4583382797866667
-96.79357528,28.09844015,2.480952380952381,0.50736,0.2019034,-7,0.6411027138207689
-96.77484309,28.22158583,2.2857142857142856,0.11372,0.0,-2,0.740425507530484
-96.71601642,28.40172249,4.347619047619048,0.11813,0.0875983,-1,0.7870847086598269
-96.69459267,28.32134988,4.309523809523809,0.1168,0.0979378,-1,0.7643466736331603
-96.64860076,28.20569459,5.561904761904762,0.5069,0.4183836,-3,0.7699480261624142
-96.60168493,28.63965528,4.257142857142856,0.28372,0.0692525,-1,0.8220351086598265
-96.51795705,28.58594306,4.257142857142856,0.2753,0.0,-2,0.8237013022131598
-96.51429103,28.27469191,4.3809523809523805,0.50657,0.1667818,-8,0.7649177955269989
-96.50462606,28.37561169,4.347619047619048,0.11672,0.0,-2,0.8119970721598267
-96.38309821,28.4468651,4.347619047619048,0.24236,0.0619414,-4,0.8151362218231598
-96.32950003,28.42700575,4.347619047619048,0.53503,0.6228638,-26,0.8257480027265639
