X,Y,SLR,TR,Slope,Elevation,HTF_predicted
-124.71,48.13,5.180952380952381,2.67666,2.5441475,10,0.48300536075713996
-124.71,48.39,4.719047619047619,2.52541,10.552784,-58,0.49716956577524835
-124.7,48.25,4.676190476190476,2.67726,1.3397528,-11,0.49176286524793333
-124.69,47.93,5.276190476190476,2.6476,0.0619414,-27,0.47213265624676554
-124.69,48.04,5.223809523809524,2.66766,1.3971843,-1,0.4750479914534592
-124.69,48.34,4.69047619047619,2.66722,3.5898306,33,0.49351760368332714
-124.58,47.87,5.309523809523809,2.6448,4.1431251,-9,0.48128439394471945
-124.58,48.37,4.2142857142857135,2.43327,6.7776074,40,0.48048005117499687
-124.57,42.84,7.123809523809523,2.25053,2.1470525,-6,0.39486599197900274
-124.52,42.75,7.133333333333332,2.2215,0.9539901,-1,0.39382352962214356
-124.51,42.9,7.128571428571427,2.2736,0.667099,1,0.39135839116060506
-124.48,47.78,4.661904761904761,2.6485,4.008306,-2,0.4954698578077524
-124.47,42.97,7.128571428571427,2.2842,0.1276952,3,0.3833873418533716
-124.46,48.32,4.195238095238095,2.35556,6.1399837,89,0.4815207807605286
-124.45,42.67,7.152380952380952,2.2104,1.2604978,-32,0.3898593540043169
-124.44,42.44,6.633333333333333,2.17881,0.9909633,-1,0.391447285440947
-124.44,43.05,6.19047619047619,2.2937,0.989511,7,0.3994356392871006
-124.43,42.32,6.676190476190476,2.12894,4.200882,-13,0.40107404015119574
-124.43,42.33,6.676190476190476,2.13431,8.5722589,45,0.40140818817673435
-124.43,42.34,6.7142857142857135,2.13673,4.0749655,-8,0.3979879391883752
-124.43,42.39,6.633333333333333,2.15615,0.3830806,-7,0.39246621621017774
-124.43,42.42,6.633333333333333,2.1701,0.692492,-5,0.39232553928710084
-124.43,42.42,6.633333333333333,2.1701,0.692492,-5,0.39232553928710084
-124.43,43.12,6.19047619047619,2.31519,1.4030029,14,0.45407814389926
-124.42,42.32,6.676190476190476,2.12759,3.5175288,19,0.4008996438037598
-124.42,42.43,6.633333333333333,2.17481,6.7062049,61,0.4010330497151959
-124.42,42.46,6.633333333333333,2.1864,4.3829393,56,0.40079268630504195
-124.42,42.5,6.633333333333333,2.1903,2.4947829,21,0.39834734157903456
-124.42,47.71,4.761904761904762,2.64671,2.9371941,10,0.49398538222263133
-124.41,40.44,8.990476190476189,1.90824,5.2098727,28,0.3949604005628081
-124.41,42.25,6.676190476190476,2.10229,2.5379355,24,0.39862869542518836
-124.41,42.28,6.676190476190476,2.1141,1.1117902,0,0.3919191122460752
-124.41,42.3,6.676190476190476,2.12065,4.0498118,34,0.4008715084191445
-124.4,42.24,6.619047619047619,2.09489,4.0763683,1,0.4015630161114522
-124.4,43.19,6.204761904761904,2.31045,1.6466807,3,0.44816795928387543
-124.4,43.31,6.204761904761904,2.31225,3.6757736,3,0.4571761830440325
-124.39,42.23,6.619047619047619,2.09075,4.8720274,19,0.4027593040565213
-124.39,42.57,6.661904761904761,2.1989,3.9825461,35,0.4008715084191445
-124.39,43.27,6.204761904761904,2.31235,2.2633915,-2,0.45635357169897756
-124.39,47.64,4.814285714285714,2.64551,3.2010469,19,0.49112153524364255
-124.38,42.2,6.619047619047619,2.08005,1.9090828,-15,0.4006892602169043
-124.38,42.21,6.619047619047619,2.08355,2.1964245,-2,0.4006892602169043
-124.37,40.35,8.557142857142857,1.90351,1.4130429,-11,0.38568567481904664
-124.37,40.54,8.990476190476189,1.93045,4.5903697,29,0.3932755661032037
-124.37,42.15,6.619047619047619,2.06269,3.3163726,-16,0.40159115149606756
-124.37,42.16,6.619047619047619,2.0663,3.5040724,-14,0.40159115149606756
-124.37,42.17,6.619047619047619,2.06965,3.2639096,-14,0.40159115149606756
-124.37,42.19,6.619047619047619,2.0763,7.1527801,-14,0.40209969586904204
-124.36,40.26,8.528571428571428,1.91272,6.7191119,76,0.3943599910518191
-124.36,42.12,6.571428571428571,2.05205,3.6271784,-13,0.4013129238037598
-124.36,42.12,6.571428571428571,2.05205,3.6271784,-13,0.4013129238037598
-124.36,42.14,6.571428571428571,2.05921,2.569031,-9,0.40104334157903454
-124.36,42.14,6.571428571428571,2.05921,2.569031,-9,0.40104334157903454
-124.36,42.16,6.619047619047619,2.0669,7.3080645,62,0.4020059112536574
-124.36,42.17,6.619047619047619,2.07025,5.5207191,71,0.4025125361492618
-124.36,47.55,4.938095238095238,2.64205,1.3141097,6,0.48431961625164405
-124.35,42.1,6.571428571428571,2.04334,3.8247335,23,0.4013129238037598
-124.35,42.11,6.571428571428571,2.0476,5.5292497,19,0.4023562284569541
-124.35,42.13,6.571428571428571,2.0557,7.6295981,45,0.40184960356134974
-124.35,47.48,4.947619047619048,2.63975,1.0684772,-2,0.48452920681318246
-124.33,43.36,6.209523809523809,2.32717,0.5301178,-7,0.46531105786130783
-124.33,47.39,5.047619047619048,2.6361,1.8994006,-1,0.4854685002874921
-124.33,48.28,4.623809523809523,2.29196,3.355444,-11,0.40239021432619637
-124.32,40.63,9.095238095238097,1.92275,0.2358644,0,0.3842834235243158
-124.32,42.08,6.461904761904762,2.03205,2.7054,46,0.403068649957606
-124.32,43.35,6.209523809523809,2.32698,1.1638188,-8,0.4657872110400624
-124.29,40.2,7.538095238095238,1.86819,8.71136,42,0.39520405259028063
-124.29,42.04,6.504761904761904,2.01515,1.3097259,-7,0.3965174463120093
-124.29,43.43,6.209523809523809,2.26455,0.5107682,0,0.4049093392871008
-124.29,47.33,5.080952380952381,2.6337,2.5864725,29,0.4847424282647217
-124.28,42.05,6.447619047619047,2.01419,1.7526515,28,0.4004082644938275
-124.28,43.42,6.195238095238095,2.469,0.3233401,-6,0.497101433088833
-124.27,40.72,8.999999999999998,1.97676,0.9433778,-12,0.38443970625567675
-124.26,41.77,6.861152882086167,2.05395,0.2627932,-16,0.38175242578650903
-124.26,41.78,6.861152882086167,2.05219,0.8263438,-10,0.38190870851786995
-124.26,43.5,6.2142857142857135,2.23845,0.3531157,-1,0.4029398623640239
-124.25,41.78,6.861152882086167,2.05215,0.9446474,13,0.38190870851786995
-124.24,40.76,9.07142857142857,2.00629,0.2019034,-18,0.38142510882194763
-124.24,42.02,6.471428571428571,2.001,1.6530687,-1,0.3958689232350862
-124.23,40.74,9.07142857142857,2.08066,0.602515,-16,0.38478749087106134
-124.23,40.76,9.07142857142857,2.05009,0.5608852,-14,0.38478749087106134
-124.23,43.45,6.333333333333333,2.5573,1.303858,16,0.488619409314462
-124.23,43.58,6.395238095238095,2.2094,0.6959455,-2,0.4003017085178701
-124.22,41.75,6.785714285714286,2.07111,0.6858824,-5,0.3830818499449256
-124.22,43.43,6.385714285714285,2.554,2.8135157,-7,0.49385438219082783
-124.22,47.25,5.057142857142856,2.6334,1.6018482,33,0.48168371455066844
-124.21,40.15,7.118594104308389,1.861,5.6184597,10,0.39628364709357733
-124.21,40.77,9.07142857142857,2.09778,0.180588,-10,0.38142510882194763
-124.21,40.77,9.07142857142857,2.09778,0.180588,-10,0.38142510882194763
-124.21,40.8,9.07142857142857,2.0136,1.1736618,-11,0.38484161328058514
-124.21,41.86,6.604761904761905,2.016,0.0619414,3,0.39304623416106405
-124.21,41.92,6.623809523809523,1.98635,0.3073724,-1,0.39312257963266295
-124.21,41.99,6.519047619047618,1.9885,2.3266783,2,0.40104334157903454
-124.21,43.67,6.376190476190476,2.18461,0.6510935,-7,0.3966450315947932
-124.2,40.76,9.07142857142857,2.08268,0.4727364,-18,0.38492816779413824
-124.2,47.18,5.042857142857143,2.6293,1.1261411,-1,0.4835180900296158
-124.2,48.25,4.623809523809523,2.23378,12.9444571,-26,0.40349586532468223
-124.19,41.75,6.833968253968254,2.09295,0.3729312,3,0.3832225268680025
-124.18,40.81,8.961904761904762,2.18839,0.6660199,-7,0.38478749087106134
-124.18,43.76,6.395873015873016,2.20745,0.9295552,1,0.39995392390248546
-124.18,47.09,5.0666666666666655,2.6214,0.2637041,0,0.4851432102963388
-124.17,40.86,8.961904761904762,2.01575,0.6100288,3,0.38478749087106134
-124.17,46.93,5.247619047619047,2.63586,0.687628,3,0.48001221271121014
-124.17,47.01,5.504761904761905,2.6149,0.2637041,4,0.48381032759633885
-124.16,41.14,8.65949522675737,2.01986,4.3520489,-13,0.3932755661032037
-124.16,41.73,7.166796814058957,2.0894,0.5544359,-6,0.3870208037910795
-124.16,43.85,6.486349206349206,2.23731,0.5977207,7,0.39941723159479314
-124.15,41.05,8.65949522675737,2.02055,2.8896198,-8,0.39154840667884466
-124.15,41.14,8.65949522675737,2.0209,4.3144855,38,0.3932755661032037
-124.15,43.93,6.524444444444444,2.2661,0.4556912,-2,0.40166806236402386
-124.14,40.94,8.537918870748298,2.01895,0.9311012,-3,0.38443970625567675
-124.14,41.67,7.117601410430839,2.08495,9.881114,28,0.3954431351179911
-124.14,41.7,7.117601410430839,2.0871,7.2849422,93,0.3953493505026065
-124.14,44.02,6.811798941043084,2.29968,0.3112485,2,0.42552175383437196
-124.14,46.9,5.271428571428571,2.60468,0.4998547,-1,0.48163040723236783
-124.14,47.03,5.180952380952381,2.20293,0.440712,4,0.37521478859286883
-124.13,44.12,6.8022751315192735,2.35451,2.0282645,-4,0.4635175630978772
-124.13,46.96,5.180952380952381,2.69408,0.4160848,10,0.475656886007834
-124.12,40.11,7.014392124716552,1.85671,14.0252333,123,0.4004758049394827
-124.12,44.2,6.735608464852608,2.3962,3.9609497,7,0.4679028780992555
-124.11,41.03,8.352380952380951,2.0217,5.004107,44,0.39392173731455643
-124.11,41.22,8.964585537414967,2.0266,5.2565918,51,0.3980768163243466
-124.11,44.29,7.161904761904761,2.4448,7.9988446,94,0.4594698987702345
-124.11,46.83,5.076190476190476,2.56105,0.3917456,-1,0.48448633998022633
-124.1,41.57,7.159823632653061,2.075,7.3635173,7,0.3954431351179911
-124.1,48.22,4.785714285714286,2.19619,7.2668796,-28,0.3946962266588639
-124.09,41.31,7.840776013605441,2.0377,5.3579431,25,0.39497689847513395
-124.09,44.37,7.29047619047619,2.48405,0.5685276,10,0.48389209047172166
-124.09,44.41,7.29047619047619,2.50241,0.9207456,1,0.47704236646206016
-124.08,41.52,7.831252204081632,2.069,8.1630812,54,0.3954431351179911
-124.08,41.54,7.831252204081632,2.07271,1.4656445,19,0.3870749262006033
-124.08,44.51,7.461904761904761,2.492,1.9189655,-2,0.4887607960169098
-124.08,44.68,6.807037036281178,2.4833,0.8461245,-8,0.49491046906994623
-124.08,46.26,5.152380952380952,2.44072,0.5540033,-17,0.4526720448056922
-124.08,46.72,5.085714285714285,2.55843,0.1871095,-8,0.48219072512894406
-124.08,46.86,5.271428571428571,1.975,0.4026124,8,0.370057557823638
-124.07,40.02,7.038201648526077,1.865,2.0092907,-13,0.3941947194931726
-124.07,41.38,7.847125219954648,2.0485,5.8213315,60,0.3952446569949142
-124.07,41.46,7.831252204081632,2.05935,4.6056228,24,0.39453601748476025
-124.07,44.61,7.219047619047619,2.47602,2.2773044,-16,0.4938180825163178
-124.07,44.63,7.219047619047619,2.47585,1.5484672,-3,0.4903713821120146
