X,Y,SLR,TR,Slope,Elevation,HTF_predicted
-124.71,48.13,4.190476190476191,2.67666,2.5441475,10,0.49762060864556956
-124.71,48.39,3.412698412698412,2.52541,10.552784,-58,0.6080966944682618
-124.7,48.25,3.658730158730158,2.67726,1.3397528,-11,0.5467557133588609
-124.69,47.93,4.218253968253968,2.6476,0.0619414,-27,0.48533132967683773
-124.69,48.04,4.222222222222222,2.66766,1.3971843,-1,0.48607898894378787
-124.69,48.34,3.5515873015873014,2.66722,3.5898306,33,0.6037057284194065
-124.58,47.87,4.51984126984127,2.6448,4.1431251,-9,0.4817462760400677
-124.58,48.37,3.392857142857143,2.43327,6.7776074,40,0.5880880183661169
-124.57,42.84,6.662698412698412,2.25053,2.1470525,-6,0.38917761485176955
-124.52,42.75,6.662698412698412,2.2215,0.9539901,-1,0.3901456229540676
-124.51,42.9,6.662698412698412,2.2736,0.667099,1,0.3851839306463752
-124.48,47.78,3.976190476190476,2.6485,4.008306,-2,0.5109685739939522
-124.47,42.97,6.662698412698412,2.2842,0.1276952,3,0.37652202967609705
-124.46,48.32,3.242063492063492,2.35556,6.1399837,89,0.5889917374563268
-124.45,42.67,6.666666666666666,2.2104,1.2604978,-32,0.3854715476240967
-124.44,42.44,6.081349206349206,2.17881,0.9909633,-1,0.3901418503978301
-124.44,43.05,5.702380952380952,2.2937,0.989511,7,0.3881779144528594
-124.43,42.32,6.224206349206349,2.12894,4.200882,-13,0.397992921946924
-124.43,42.33,6.224206349206349,2.13431,8.5722589,45,0.3984862554683499
-124.43,42.34,6.33531746031746,2.13673,4.0749655,-8,0.3966082056341034
-124.43,42.39,6.081349206349206,2.15615,0.3830806,-7,0.3904456734747531
-124.43,42.42,6.081349206349206,2.1701,0.692492,-5,0.3904456734747531
-124.43,42.42,6.081349206349206,2.1701,0.692492,-5,0.3904456734747531
-124.43,43.12,5.702380952380952,2.31519,1.4030029,14,0.44574184962461544
-124.42,42.32,6.224206349206349,2.12759,3.5175288,19,0.3971603060587188
-124.42,42.43,6.081349206349206,2.17481,6.7062049,61,0.39936533239142685
-124.42,42.46,6.081349206349206,2.1864,4.3829393,56,0.3991689834853855
-124.42,42.5,6.081349206349206,2.1903,2.4947829,21,0.39758535768014736
-124.42,47.71,4.130952380952381,2.64671,2.9371941,10,0.50090171271157
-124.41,40.44,7.960317460317459,1.90824,5.2098727,28,0.3899863833132995
-124.41,42.25,6.224206349206349,2.10229,2.5379355,24,0.3948893576801474
-124.41,42.28,6.224206349206349,2.1141,1.1117902,0,0.3865110618183429
-124.41,42.3,6.224206349206349,2.12065,4.0498118,34,0.39725282101871884
-124.4,42.24,6.236111111111111,2.09489,4.0763683,1,0.39725282101871884
-124.4,43.19,5.702380952380952,2.31045,1.6466807,3,0.4408100277622672
-124.4,43.31,5.702380952380952,2.31225,3.6757736,3,0.45117517048969974
-124.39,42.23,6.236111111111111,2.09075,4.8720274,19,0.3991898781599418
-124.39,42.57,6.0853174603174605,2.1989,3.9825461,35,0.3982256825571803
-124.39,43.27,5.702380952380952,2.31235,2.2633915,-2,0.45030224726156776
-124.39,47.64,4.130952380952381,2.64551,3.2010469,19,0.49978123590010476
-124.38,42.2,6.236111111111111,2.08005,1.9090828,-15,0.3948893576801474
-124.38,42.21,6.236111111111111,2.08355,2.1964245,-2,0.3948893576801474
-124.37,40.35,7.492063492063491,1.90351,1.4130429,-11,0.37906901747330923
-124.37,40.54,7.968253968253967,1.93045,4.5903697,29,0.38838066553088446
-124.37,42.15,6.236111111111111,2.06269,3.3163726,-16,0.3971603060587188
-124.37,42.16,6.236111111111111,2.0663,3.5040724,-14,0.3971603060587188
-124.37,42.17,6.236111111111111,2.06965,3.2639096,-14,0.3971603060587188
-124.37,42.19,6.236111111111111,2.0763,7.1527801,-14,0.3993086302529653
-124.36,40.26,7.468253968253967,1.91272,6.7191119,76,0.3902434507600027
-124.36,42.12,6.220238095238095,2.05205,3.6271784,-13,0.39725282101871884
-124.36,42.12,6.220238095238095,2.05205,3.6271784,-13,0.39725282101871884
-124.36,42.14,6.220238095238095,2.05921,2.569031,-9,0.3948893576801474
-124.36,42.14,6.220238095238095,2.05921,2.569031,-9,0.3948893576801474
-124.36,42.16,6.236111111111111,2.0669,7.3080645,62,0.3992148456375807
-124.36,42.17,6.236111111111111,2.07025,5.5207191,71,0.39886399357549285
-124.36,47.55,4.194444444444445,2.64205,1.3141097,6,0.4945955034816228
-124.35,42.1,6.220238095238095,2.04334,3.8247335,23,0.39725282101871884
-124.35,42.11,6.220238095238095,2.0476,5.5292497,19,0.39895777819087747
-124.35,42.13,6.220238095238095,2.0557,7.6295981,45,0.3993086302529653
-124.35,47.48,4.194444444444445,2.63975,1.0684772,-2,0.4938109591029245
-124.33,43.36,5.7142857142857135,2.32717,0.5301178,-7,0.4591841630561734
-124.33,47.39,4.575396825396825,2.6361,1.8994006,-1,0.4825431240220386
-124.33,48.28,3.837301587301587,2.29196,3.355444,-11,0.41369028603967944
-124.32,40.63,8.011695907029479,1.92275,0.2358644,0,0.37737791552025207
-124.32,42.08,6.220238095238095,2.03205,2.7054,46,0.395654435289488
-124.32,43.35,5.7142857142857135,2.32698,1.1638188,-8,0.45970295731692284
-124.29,40.2,7.103174603174603,1.86819,8.71136,42,0.3910875122984642
-124.29,42.04,6.224206349206349,2.01515,1.3097259,-7,0.3872487138893488
-124.29,43.43,5.7142857142857135,2.26455,0.5107682,0,0.3960493042439838
-124.29,47.33,4.563492063492063,2.6337,2.5864725,29,0.47920829845034857
-124.28,42.05,6.208333333333333,2.01419,1.7526515,28,0.3933481311878397
-124.28,43.42,5.702380952380952,2.469,0.3233401,-6,0.4949793301523908
-124.27,40.72,7.975981621315191,1.97676,0.9433778,-12,0.3782493309048674
-124.26,41.77,6.700396825396825,2.05395,0.2627932,-16,0.38087404567103944
-124.26,41.78,6.700396825396825,2.05219,0.8263438,-10,0.38174546105565477
-124.26,43.5,5.706349206349207,2.23845,0.3531157,-1,0.39304819655167617
-124.25,41.78,6.700396825396825,2.05215,0.9446474,13,0.38174546105565477
-124.24,40.76,8.03153717687075,2.00629,0.2019034,-18,0.37418257644838676
-124.24,42.02,6.196428571428571,2.001,1.6530687,-1,0.3875785535654621
-124.23,40.74,8.03153717687075,2.08066,0.602515,-16,0.3778468385971751
-124.23,40.76,8.03153717687075,2.05009,0.5608852,-14,0.3778468385971751
-124.23,43.45,5.702380952380952,2.5573,1.303858,16,0.4844338499727646
-124.23,43.58,5.706349206349207,2.2094,0.6959455,-2,0.394981427320907
-124.22,41.75,6.692460317460317,2.07111,0.6858824,-5,0.3813429687479625
-124.22,43.43,5.7142857142857135,2.554,2.8135157,-7,0.4908250482959806
-124.22,47.25,4.551587301587301,2.6334,1.6018482,33,0.47641620165104803
-124.21,40.15,6.744047619047619,1.861,5.6184597,10,0.3918629590748379
-124.21,40.77,8.03153717687075,2.09778,0.180588,-10,0.37418257644838676
-124.21,40.77,8.03153717687075,2.09778,0.180588,-10,0.37418257644838676
-124.21,40.8,8.03153717687075,2.0136,1.1736618,-11,0.37822495593484773
-124.21,41.86,6.498015873015873,2.016,0.0619414,3,0.3838012912145588
-124.21,41.92,6.593253968253968,1.98635,0.3073724,-1,0.38087404567103944
-124.21,41.99,6.196428571428571,1.9885,2.3266783,2,0.3948893576801474
-124.21,43.67,5.694444444444445,2.18461,0.6510935,-7,0.3909027196285993
-124.2,40.76,8.03153717687075,2.08268,0.4727364,-18,0.3778468385971751
-124.2,47.18,4.523809523809524,2.6293,1.1261411,-1,0.47539652206926664
-124.2,48.25,3.837301587301587,2.23378,12.9444571,-26,0.41782615480331464
-124.19,41.75,6.708333333333333,2.09295,0.3729312,3,0.3813429687479625
-124.18,40.81,8.007727653061224,2.18839,0.6660199,-7,0.3778468385971751
-124.18,43.76,5.686507936507936,2.20745,0.9295552,1,0.39533702732090703
-124.18,47.09,4.523809523809524,2.6214,0.2637041,0,0.4770023200436819
-124.17,40.86,8.007727653061224,2.01575,0.6100288,3,0.3778468385971751
-124.17,46.93,4.650793650793651,2.63586,0.687628,3,0.47828211157818273
-124.17,47.01,4.984126984126984,2.6149,0.2637041,4,0.47977827388983585
-124.16,41.14,7.805346700680271,2.01986,4.3520489,-13,0.38838066553088446
-124.16,41.73,6.885019841269841,2.0894,0.5544359,-6,0.3813429687479625
-124.16,43.85,6.178571428571428,2.23731,0.5977207,7,0.3885002580901377
-124.15,41.05,7.805346700680271,2.02055,2.8896198,-8,0.3863923081042177
-124.15,41.14,7.805346700680271,2.0209,4.3144855,38,0.38838066553088446
-124.15,43.93,6.21031746031746,2.2661,0.4556912,-2,0.3915013657824453
-124.14,40.94,7.741854637188208,2.01895,0.9311012,-3,0.3782493309048674
-124.14,41.67,6.857242063492064,2.08495,9.881114,28,0.39411560282617475
-124.14,41.7,6.857242063492064,2.0871,7.2849422,93,0.3940218182107902
-124.14,44.02,6.341369047619047,2.29968,0.3112485,2,0.426327227989184
-124.14,46.9,4.662698412698412,2.60468,0.4998547,-1,0.47732256168681153
-124.14,47.03,4.666666666666666,2.20293,0.440712,4,0.37258605465536404
-124.13,44.12,6.29375,2.35451,2.0282645,-4,0.4630298777221797
-124.13,46.96,4.666666666666666,2.69408,0.4160848,10,0.4743938260466518
-124.12,40.11,6.553571428571428,1.85671,14.0252333,123,0.40468363677795155
-124.12,44.2,6.309623015873015,2.3962,3.9609497,7,0.46933540285287556
-124.11,41.03,7.468253968253967,2.0217,5.004107,44,0.38902683674223726
-124.11,41.22,8.293650793650794,2.0266,5.2565918,51,0.3943570144594534
-124.11,44.29,6.376984126984127,2.4448,7.9988446,94,0.46685271036900233
-124.11,46.83,4.559523809523809,2.56105,0.3917456,-1,0.4768772034996601
-124.1,41.57,6.920734126984128,2.075,7.3635173,7,0.39411560282617475
-124.1,48.22,4.186507936507936,2.19619,7.2668796,-28,0.39464604853369517
-124.09,41.31,7.261904761904762,2.0377,5.3579431,25,0.3922385599948561
-124.09,44.37,6.543650793650793,2.48405,0.5685276,10,0.49806220973236626
-124.09,44.41,6.543650793650793,2.50241,0.9207456,1,0.4890231506766059
-124.08,41.52,7.226190476190475,2.069,8.1630812,54,0.39356227359540547
-124.08,41.54,7.226190476190475,2.07271,1.4656445,19,0.3817210860856351
-124.08,44.51,6.492063492063491,2.492,1.9189655,-2,0.5022123554762221
-124.08,44.68,6.333432539682539,2.4833,0.8461245,-8,0.4984599606130029
-124.08,46.26,4.579365079365078,2.44072,0.5540033,-17,0.4516567660517854
-124.08,46.72,4.559523809523809,2.55843,0.1871095,-8,0.4742214176563955
-124.08,46.86,4.662698412698412,1.975,0.4026124,8,0.3674288238861333
-124.07,40.02,6.581349206349207,1.865,2.0092907,-13,0.3908438458794925
-124.07,41.38,7.249999999999999,2.0485,5.8213315,60,0.3925063185146363
-124.07,41.46,7.226190476190475,2.05935,4.6056228,24,0.39187679568167183
-124.07,44.61,6.440476190476191,2.47602,2.2773044,-16,0.5028425063568588
-124.07,44.63,6.440476190476191,2.47585,1.5484672,-3,0.4978846010275986
-124.07,44.69,6.329464285714285,2.4848,2.3027997,3,0.5006385678953202
-124.07,44.8,5.900892857142856,2.50141,2.7367663,16,0.4914230605852641
