X,Y,SLR,TR,Slope,Elevation,HTF_predicted
-124.71,48.13,-1.6666666666666663,2.67666,2.5441475,10,0.47897228930672436
-124.71,48.39,-2.5142857142857142,2.52541,10.552784,-58,0.5124503555148808
-124.7,48.25,-1.6952380952380952,2.67726,1.3397528,-11,0.47742759970460136
-124.69,47.93,-1.6126984126984127,2.6476,0.0619414,-27,0.465917990544016
-124.69,48.04,-1.6190476190476188,2.66766,1.3971843,-1,0.4725138255333985
-124.69,48.34,-1.8857142857142857,2.66722,3.5898306,33,0.4663313231597968
-124.58,47.87,-1.4571428571428569,2.6448,4.1431251,-9,0.4726418118423364
-124.58,48.37,-2.473015873015873,2.43327,6.7776074,40,0.47422201955416654
-124.57,42.84,-0.6929075487528343,2.25053,2.1470525,-6,0.40985980558423535
-124.52,42.75,-0.7402289773242631,2.2215,0.9539901,-1,0.40651351343510495
-124.51,42.9,-0.7402289773242631,2.2736,0.667099,1,0.40228784914939053
-124.48,47.78,-1.3968253968253967,2.6485,4.008306,-2,0.47587729594044575
-124.47,42.97,-0.6929075487528343,2.2842,0.1276952,3,0.3906264504129271
-124.46,48.32,-2.406349206349206,2.35556,6.1399837,89,0.47971300444702375
-124.45,42.67,-0.8227255918367347,2.2104,1.2604978,-32,0.4028566801629025
-124.44,42.44,-0.8941321179138322,2.17881,0.9909633,-1,0.3991344866300925
-124.44,43.05,-1.2608208299319723,2.2937,0.989511,7,0.39155860091580647
-124.43,42.32,-0.8687352925170068,2.12894,4.200882,-13,0.40938146270949066
-124.43,42.33,-0.8687352925170068,2.13431,8.5722589,45,0.4095459565363876
-124.43,42.34,-0.8433384671201813,2.13673,4.0749655,-8,0.40938146270949066
-124.43,42.39,-0.8941321179138322,2.15615,0.3830806,-7,0.39977402234437814
-124.43,42.42,-0.8941321179138322,2.1701,0.692492,-5,0.39977402234437814
-124.43,42.42,-0.8941321179138322,2.1701,0.692492,-5,0.39977402234437814
-124.43,43.12,-1.3507374875283449,2.31519,1.4030029,14,0.4465834216202446
-124.42,42.32,-0.8687352925170068,2.12759,3.5175288,19,0.40938146270949066
-124.42,42.43,-0.8941321179138322,2.17481,6.7062049,61,0.40925440985985695
-124.42,42.46,-0.8981885555555554,2.1864,4.3829393,56,0.40912020556663353
-124.42,42.5,-0.8981885555555554,2.1903,2.4947829,21,0.4086139602815838
-124.42,47.71,-2.555555555555556,2.64671,2.9371941,10,0.5179094844101187
-124.41,40.44,1.5206349206349206,1.90824,5.2098727,28,0.3895887767470569
-124.41,42.25,-0.8687352925170068,2.10229,2.5379355,24,0.40887521742444094
-124.41,42.28,-0.8687352925170068,2.1141,1.1117902,0,0.40072212302004534
-124.41,42.3,-0.8687352925170068,2.12065,4.0498118,34,0.40938146270949066
-124.4,42.24,-0.8623860861678004,2.09489,4.0763683,1,0.40938146270949066
-124.4,43.19,-1.341213678004535,2.31045,1.6466807,3,0.44156761209643514
-124.4,43.31,-1.3166535691609975,2.31225,3.6757736,3,0.4501184158709994
-124.39,42.23,-0.8623860861678004,2.09075,4.8720274,19,0.40938146270949066
-124.39,42.57,-0.8981885555555554,2.1989,3.9825461,35,0.40912020556663353
-124.39,43.27,-1.3166535691609975,2.31235,2.2633915,-2,0.4504396350722592
-124.39,47.64,-2.546031746031746,2.64551,3.2010469,19,0.5162904003929759
-124.38,42.2,-0.8623860861678004,2.08005,1.9090828,-15,0.4113606239179474
-124.38,42.21,-0.8623860861678004,2.08355,2.1964245,-2,0.4113606239179474
-124.37,40.35,1.4158730158730155,1.90351,1.4130429,-11,0.3836859872987838
-124.37,40.54,1.5206349206349206,1.93045,4.5903697,29,0.3890319119851522
-124.37,42.15,-0.8623860861678004,2.06269,3.3163726,-16,0.41253731667673865
-124.37,42.16,-0.8623860861678004,2.0663,3.5040724,-14,0.4127152894658543
-124.37,42.17,-0.8623860861678004,2.06965,3.2639096,-14,0.41253731667673865
-124.37,42.19,-0.8623860861678004,2.0763,7.1527801,-14,0.41270289043560837
-124.36,40.26,1.1079365079365078,1.91272,6.7191119,76,0.39064303948551843
-124.36,42.12,-0.8655606893424037,2.05205,3.6271784,-13,0.4127152894658543
-124.36,42.12,-0.8655606893424037,2.05205,3.6271784,-13,0.4127152894658543
-124.36,42.14,-0.8655606893424037,2.05921,2.569031,-9,0.4113606239179474
-124.36,42.14,-0.8655606893424037,2.05921,2.569031,-9,0.4113606239179474
-124.36,42.16,-0.8623860861678004,2.0669,7.3080645,62,0.41270289043560837
-124.36,42.17,-0.8623860861678004,2.07025,5.5207191,71,0.4124448399420448
-124.36,47.55,-2.4285714285714284,2.64205,1.3141097,6,0.5120792648071426
-124.35,42.1,-0.8655606893424037,2.04334,3.8247335,23,0.4127152894658543
-124.35,42.11,-0.8655606893424037,2.0476,5.5292497,19,0.4124448399420448
-124.35,42.13,-0.8655606893424037,2.0557,7.6295981,45,0.41287978329275127
-124.35,47.48,-2.3968253968253967,2.63975,1.0684772,-2,0.5111013648071426
-124.33,43.36,-1.17613431292517,2.32717,0.5301178,-7,0.4540803257064821
-124.33,47.39,-2.015873015873016,2.6361,1.8994006,-1,0.49390271974385414
-124.33,48.28,-2.885714285714285,2.29196,3.355444,-11,0.5330451505214283
-124.32,40.63,1.6476190476190475,1.92275,0.2358644,0,0.38036590832998124
-124.32,42.08,-1.1354019591836737,2.03205,2.7054,46,0.41247068106080464
-124.32,43.35,-1.17613431292517,2.32698,1.1638188,-8,0.455204412096435
-124.29,40.2,0.1682539682539682,1.86819,8.71136,42,0.39032517662837557
-124.29,42.04,-1.2401638639455783,2.01515,1.3097259,-7,0.40709511522783765
-124.29,43.43,-1.195181931972789,2.26455,0.5107682,0,0.40593562234437813
-124.29,47.33,-2.0476190476190474,2.6337,2.5864725,29,0.509495692089044
-124.28,42.05,-1.1354019591836737,2.01419,1.7526515,28,0.41104300094212326
-124.28,43.42,-1.195181931972789,2.469,0.3233401,-6,0.48213645986954146
-124.27,40.72,1.6,1.97676,0.9433778,-12,0.3826117937659737
-124.26,41.77,-0.8825396825396825,2.05395,0.2627932,-16,0.399657036259035
-124.26,41.78,-0.8825396825396825,2.05219,0.8263438,-10,0.4024036645521703
-124.26,43.5,-1.306071557823129,2.23845,0.3531157,-1,0.405217165201521
-124.25,41.78,-0.8825396825396825,2.05215,0.9446474,13,0.4024036645521703
