X,Y,SLR,TR,Slope,Elevation,HTF_predicted
-124.71,48.13,-1.9421768707482991,2.67666,2.5441475,10,0.47496249419057096
-124.71,48.39,-2.789115646258503,2.52541,10.552784,-58,0.605974655535897
-124.7,48.25,-2.071428571428571,2.67726,1.3397528,-11,0.4710490770883647
-124.69,47.93,-1.9625850340136053,2.6476,0.0619414,-27,0.4580786119624172
-124.69,48.04,-1.9659863945578229,2.66766,1.3971843,-1,0.4641875576341608
-124.69,48.34,-2.210884353741496,2.66722,3.5898306,33,0.4705339610514317
-124.58,47.87,-1.683673469387755,2.6448,4.1431251,-9,0.4667169212423439
-124.58,48.37,-2.663265306122449,2.43327,6.7776074,40,0.5863798507776553
-124.57,42.84,-0.4727891156462584,2.25053,2.1470525,-6,0.40057115298575346
-124.52,42.75,-0.4727891156462584,2.2215,0.9539901,-1,0.39580102465179456
-124.51,42.9,-0.4727891156462584,2.2736,0.667099,1,0.39302615493818505
-124.48,47.78,-1.894557823129252,2.6485,4.008306,-2,0.47082266315805366
-124.47,42.97,-0.4727891156462584,2.2842,0.1276952,3,0.38852497840883565
-124.46,48.32,-2.891156462585034,2.35556,6.1399837,89,0.5924419343794036
-124.45,42.67,-0.4761904761904761,2.2104,1.2604978,-32,0.39032490442621937
-124.44,42.44,-0.8061224489795917,2.17881,0.9909633,-1,0.3882064840116238
-124.44,43.05,-0.95578231292517,2.2937,0.989511,7,0.39462316345126847
-124.43,42.32,-0.7108843537414966,2.12894,4.200882,-13,0.4026108461778676
-124.43,42.33,-0.7108843537414966,2.13431,8.5722589,45,0.4042928647161554
-124.43,42.34,-0.7108843537414966,2.13673,4.0749655,-8,0.4016935965317137
-124.43,42.39,-0.8061224489795917,2.15615,0.3830806,-7,0.38907965275955275
-124.43,42.42,-0.8061224489795917,2.1701,0.692492,-5,0.38907965275955275
-124.43,42.42,-0.8061224489795917,2.1701,0.692492,-5,0.38907965275955275
-124.43,43.12,-0.95578231292517,2.31519,1.4030029,14,0.4417585800166897
-124.42,42.32,-0.7108843537414966,2.12759,3.5175288,19,0.4016935965317137
-124.42,42.43,-0.8061224489795917,2.17481,6.7062049,61,0.40419908010077077
-124.42,42.46,-0.836734693877551,2.1864,4.3829393,56,0.40281404617786765
-124.42,42.5,-0.836734693877551,2.1903,2.4947829,21,0.3991913247646808
-124.42,47.71,-1.9614512471655323,2.64671,2.9371941,10,0.47218027115374317
-124.41,40.44,2.030612244897959,1.90824,5.2098727,28,0.3791679816925018
-124.41,42.25,-0.7108843537414966,2.10229,2.5379355,24,0.39776110938006537
-124.41,42.28,-0.7108843537414966,2.1141,1.1117902,0,0.38843212620136736
-124.41,42.3,-0.7108843537414966,2.12065,4.0498118,34,0.4016935965317137
-124.4,42.24,-0.7403628117913832,2.09489,4.0763683,1,0.40026338114709836
-124.4,43.19,-0.95578231292517,2.31045,1.6466807,3,0.43790226617053585
-124.4,43.31,-0.9523809523809524,2.31225,3.6757736,3,0.44946649341394235
-124.39,42.23,-0.7403628117913832,2.09075,4.8720274,19,0.4024347701597681
-124.39,42.57,-0.8333333333333333,2.1989,3.9825461,35,0.4016935965317137
-124.39,43.27,-0.9523809523809524,2.31235,2.2633915,-2,0.4488821080474588
-124.39,47.64,-1.86734693877551,2.64551,3.2010469,19,0.4724361696919117
-124.38,42.2,-0.7403628117913832,2.08005,1.9090828,-15,0.39776110938006537
-124.38,42.21,-0.7403628117913832,2.08355,2.1964245,-2,0.39776110938006537
-124.37,40.35,1.5816326530612246,1.90351,1.4130429,-11,0.36475093266224967
-124.37,40.54,2.030612244897959,1.93045,4.5903697,29,0.3774149974908212
-124.37,42.15,-0.7403628117913832,2.06269,3.3163726,-16,0.40026338114709836
-124.37,42.16,-0.7403628117913832,2.0663,3.5040724,-14,0.40026338114709836
-124.37,42.17,-0.7403628117913832,2.06965,3.2639096,-14,0.40026338114709836
-124.37,42.19,-0.7403628117913832,2.0763,7.1527801,-14,0.40368502411615537
-124.36,40.26,0.921768707482993,1.91272,6.7191119,76,0.3812614368615876
-124.36,42.12,-0.7482993197278911,2.05205,3.6271784,-13,0.40026338114709836
-124.36,42.12,-0.7482993197278911,2.05205,3.6271784,-13,0.40026338114709836
-124.36,42.14,-0.7482993197278911,2.05921,2.569031,-9,0.39776110938006537
-124.36,42.14,-0.7482993197278911,2.05921,2.569031,-9,0.39776110938006537
-124.36,42.16,-0.7403628117913832,2.0669,7.3080645,62,0.40359123950077075
-124.36,42.17,-0.7403628117913832,2.07025,5.5207191,71,0.4023229767180098
-124.36,47.55,-1.7074829931972788,2.64205,1.3141097,6,0.46639307871925484
-124.35,42.1,-0.7482993197278911,2.04334,3.8247335,23,0.40026338114709836
-124.35,42.11,-0.7482993197278911,2.0476,5.5292497,19,0.40241676133339443
