X,Y,SLR,OC_USA_EBK,GH_USA_EBK,SALT_USA_EBK,MSLP_USA_EBK,SP_USA_EBK,SST_USA_EBK,VLM_shcua_EBK
-124.0174731,43.96485975,4,0.0220028,4062859008,0.0340293,102079,100362.5547,286.0351868,-0.7641973
-124.0174731,42.00485975,4,0.0301162,4567384064,0.0341535,102084.8672,97965.42969,286.2380981,-0.0217772
-124.0174731,41.96485975,4,0.0301162,4567384064,0.0341535,102084.8672,97965.42969,286.2380981,-0.0217772
-124.0174731,48.00485975,2,0.0513942,4164664064,0.0341601,101967.3281,101516.2578,284.8706665,-0.8685777
-124.0174731,47.96485975,2,0.0513942,4164664064,0.0341601,101967.3281,101516.2578,284.8706665,-0.8685777
-124.0174731,46.72485975,2,0.0365147,3990014464,0.0341234,102000.4375,101369.9609,287.5883179,-0.8821566
-124.0174731,46.68485975,2,0.0365147,3990014464,0.0341225,102000.4375,101369.9609,287.5883179,-0.8821566
-124.0174731,46.00485975,3,0.0307633,3488426240,0.0341019,102023.7734,100907.9922,287.8939514,-0.5985759
-124.0174731,45.96485975,3,0.0307633,3488426240,0.0341019,102023.7734,100907.9922,287.8939514,-0.5985759
-124,48,2,0.0513942,4164664064,0.0341601,101967.3281,101516.2578,284.8706665,-0.8685777
-124,46,3,0.0307633,3488426240,0.0341019,102023.7734,100907.9922,287.8939514,-0.5985759
-124,44,4,0.0220028,4062859008,0.0340293,102079,100362.5547,286.0351868,-0.7641973
-124,42,4,0.0301162,4567384064,0.0341535,102084.8672,97965.42969,286.2380981,-0.0217772
-124,40,5,0.0298438,4908212224,0.0343787,102091.4297,100827.0938,285.7850952,1.6238767
-124,38,6,0.0138837,5145394688,0.0345625,102069.1406,102031.2344,287.8173218,1.526307
-123.9774731,40.00485975,5,0.0298438,4908212224,0.0343787,102091.4297,100827.0938,285.7850952,1.6238767
-123.9774731,39.96485975,5,0.0298438,4908212224,0.0343787,102091.4297,100827.0938,285.7850952,1.6238767
-123.9774731,38.00485975,6,0.0138837,5145394688,0.0345625,102069.1406,102031.2344,287.8173218,1.526307
-123.9774731,37.96485975,6,0.0138837,5145394688,0.0345625,102069.1406,102031.2344,287.8173218,1.526307
-123.9774731,44.00485975,4,0.0220028,4062859008,0.0340293,102079,100362.5547,286.0351868,-0.7641973
-123.9774731,43.96485975,4,0.0220028,4062859008,0.0340293,102079,100362.5547,286.0351868,-0.7641973
-123.9774731,42.00485975,4,0.0301162,4567384064,0.0341535,102084.8672,97965.42969,286.2380981,-0.0217772
-123.9774731,41.96485975,4,0.0301162,4567384064,0.0341535,102084.8672,97965.42969,286.2380981,-0.0217772
-123.9774731,48.00485975,2,0.0513942,4164664064,0.0341601,101967.3281,101516.2578,284.8706665,-0.8685777
-123.9774731,47.96485975,2,0.0513942,4164664064,0.0341601,101967.3281,101516.2578,284.8706665,-0.8685777
-123.9774731,46.72485975,2,0.0365147,3990014464,0.0341234,102000.4375,101369.9609,287.5883179,-0.8821566
-123.9774731,46.68485975,2,0.0365147,3990014464,0.0341225,102000.4375,101369.9609,287.5883179,-0.8821566
-123.9774731,46.00485975,3,0.0307633,3488426240,0.0341019,102023.7734,100907.9922,287.8939514,-0.5985759
-123.9774731,45.96485975,3,0.0307633,3488426240,0.0341019,102023.7734,100907.9922,287.8939514,-0.5985759
-123.97,46.71,2,0.0365147,3990014464,0.0341225,102000.4375,101369.9609,287.5883179,-0.8821566
-123.9374731,48.00485975,2,0.0516146,4095823104,0.0341532,101964.6328,100210.5547,284.5536499,-0.8454156
-123.9374731,46.72485975,2,0.0371187,3953660416,0.0341119,102000.1406,101050.3828,287.5539246,-0.8651105
-123.9374731,46.68485975,2,0.0371187,3953660416,0.0341107,102000.1406,101050.3828,287.5539246,-0.8651105
-123.9374731,46.00485975,3,0.0311964,3453407232,0.0340859,102025.8594,100532.4844,287.8486328,-0.6191921
-123.8174731,46.20485975,0,0.0331694,3539600384,0.0340839,102020.6484,100671.5156,287.8446655,-0.7851332
